Rk,Player,FantPt,FanPosRank,FanOvRank
1,Todd Gurley*+\GurlTo01,319,1,1
2,Le'Veon Bell*+\BellLe00,257,2,2
3,Kareem Hunt*\HuntKa00,242,3,3
4,Alvin Kamara*\KamaAl00,239,4,4
5,Melvin Gordon\GordMe00,230,5,5
6,DeAndre Hopkins*+\HopkDe00,214,1,6
7,Antonio Brown*+\BrowAn04,209,2,7
8,Mark Ingram*\IngrMa01,220,6,8
9,Russell Wilson*\WilsRu00,348,1,9
10,LeSean McCoy*\McCoLe01,205,7,10
11,Rob Gronkowski*+\GronRo00,158,1,11
12,Travis Kelce*\KelcTr00,151,2,12
13,Leonard Fournette\FourLe00,194,8,13
14,Keenan Allen*\AlleKe00,176,3,14
15,Tyreek Hill*\HillTy00,170,4,15
16,Marvin Jones\JoneMa02,164,5,16
17,Julio Jones*\JoneJu02,164,6,17
18,Ezekiel Elliott\ElliEz00,177,9,18
19,Jordan Howard\HowaJo00,177,10,19
20,Carlos Hyde\HydeCa00,175,11,20
21,Zach Ertz*\ErtzZa00,128,3,21
22,Brandin Cooks\CookBr00,156,7,22
23,Cam Newton\NewtCa00,299,2,23
24,Dion Lewis\LewiDi00,171,12,24
25,Michael Thomas*\ThomMi05,155,8,25
26,Larry Fitzgerald*\FitzLa00,152,9,26
27,A.J. Green*\GreeA.00,152,10,27
28,Tom Brady*+\BradTo00,296,3,28
29,Alex Smith*\SmitAl03,295,4,29
30,Adam Thielen*\ThieAd00,149,11,30
31,Davante Adams*\AdamDa01,149,12,31
32,Doug Baldwin*\BaldDo00,148,13,32
33,Devonta Freeman\FreeDe00,164,13,33
34,Jarvis Landry*\LandJa00,148,14,34
35,Jimmy Graham*\GrahJi00,114,4,35
36,Lamar Miller\MillLa01,158,14,36
37,JuJu Smith-Schuster\SmitJu00,140,15,37
38,Alshon Jeffery\JeffAl00,139,16,38
39,Evan Engram\EngrEv00,110,5,39
40,Carson Wentz*\WentCa00,282,5,40
41,Robby Anderson\AndeRo04,137,17,41
42,Stefon Diggs\DiggSt00,134,18,42
43,Kirk Cousins\CousKi00,278,6,43
44,Christian McCaffrey\McCaCh01,149,15,44
45,Golden Tate\TateGo00,133,19,45
46,Mike Evans\EvanMi00,132,20,46
47,Devin Funchess\FuncDe00,132,21,47
48,Alex Collins\CollAl00,148,16,48
49,C.J. Anderson\AndeC.00,147,17,49
50,Kyle Rudolph*\RudoKy00,101,6,50
51,Delanie Walker*\WalkHu00,101,7,51
52,Matthew Stafford\StafMa00,274,7,52
53,Frank Gore\GoreFr00,145,18,53
54,Marshawn Lynch\LyncMa00,144,19,54
55,Latavius Murray\MurrLa00,143,20,55
56,Philip Rivers*\RivePh00,270,8,56
57,Duke Johnson\JohnDu00,142,21,57
58,Nelson Agholor\AghoNe00,126,22,58
59,Tevin Coleman\ColeTe01,141,22,59
60,Cameron Brate\BratCa00,95,8,60
61,Demaryius Thomas\ThomDe03,123,23,61
62,T.Y. Hilton*\HiltT.00,119,24,62
63,Drew Brees*\BreeDr00,263,9,63
64,Jack Doyle*\DoylJa00,89,9,64
65,Dez Bryant\BryaDe01,117,25,65
66,Kenny Stills\StilKe00,117,26,66
67,Ben Roethlisberger*\RoetBe00,261,10,67
68,Dak Prescott\PresDa01,261,11,68
69,DeMarco Murray\MurrDe00,133,23,69
70,Cooper Kupp\KuppCo00,115,27,70
71,Michael Crabtree\CrabMi00,114,28,71
72,Jason Witten*\WittJa00,84,10,72
73,Marquise Goodwin\GoodMa00,113,29,73
74,Tyler Kroft\KrofTy00,82,11,74
75,Jermaine Kearse\KearJe01,111,30,75
76,Jared Goff*\GoffJa00,255,12,76
77,Hunter Henry\HenrHu00,82,12,77
78,Alex Armah\ArmaAl00,,1,78
79,Blake Bortles\BortBl00,250,13,
80,Case Keenum\KeenCa00,238,14,
81,Matt Ryan\RyanMa00,228,15,
82,Tyrod Taylor\TaylTy00,223,16,
83,Andy Dalton\DaltAn00,211,17,
84,Marcus Mariota\MariMa01,210,18,
85,Jacoby Brissett\BrisJa00,206,20,
86,Derek Carr*\CarrDe02,206,19,
87,Josh McCown\McCoJo01,205,21,
88,Jameis Winston\WinsJa00,202,22,
89,Eli Manning\MannEl00,187,23,
90,Joe Flacco\FlacJo00,185,24,
91,DeShone Kizer\KizeDe00,176,25,
92,Deshaun Watson\WatsDe00,169,26,
93,Jay Cutler\CutlJa00,158,27,
94,Mitchell Trubisky\TrubMi00,135,28,
95,Aaron Rodgers\RodgAa00,130,29,
96,Jerick McKinnon\McKiJe00,127,24,
97,Trevor Siemian\SiemTr00,126,30,
98,Derrick Henry\HenrDe00,124,25,
99,Brett Hundley\HundBr00,123,31,
100,Bilal Powell\PoweBi00,122,26,
101,Javorius Allen\AlleJa01,120,27,
102,Orleans Darkwa\DarkOr00,119,28,
103,Jamaal Williams\WillJa06,118,29,
104,Isaiah Crowell\CrowIs00,116,30,
105,Chris Thompson\ThomCh03,112,31,
106,Jay Ajayi\AjayJa00,111,33,
107,Joe Mixon\MixoJo00,111,32,
108,Amari Cooper\CoopAm00,110,31,
109,Kenyan Drake\DrakKe00,110,34,
110,Giovani Bernard\BernGi00,109,36,
111,Jonathan Stewart\StewJo00,109,35,
112,Ted Ginn\GinnTe00,107,35,
113,Mohamed Sanu\SanuMo00,107,32,
114,Sammy Watkins\WatkSa00,107,34,
115,Robert Woods\WoodRo02,107,33,
116,Paul Richardson\RichPa01,106,36,
117,Rishard Matthews\MattRi00,103,37,
118,Carson Palmer\PalmCa00,102,32,
119,Theo Riddick\RiddTh00,101,37,
120,LeGarrette Blount\BlouLe00,100,39,
121,Rex Burkhead\BurkRe00,100,38,
122,Ameer Abdullah\AbduAm00,99,40,
123,Mike Wallace\WallMi00,99,38,
124,Tarik Cohen\CoheTa00,97,41,
125,Travis Benjamin\BenjTr00,96,39,
126,Tyrell Williams\WillTy00,95,40,
127,Jamison Crowder\CrowJa00,94,41,
128,Randall Cobb\CobbRa00,93,42,
129,Marqise Lee\LeexMa00,92,43,
