Player,FantPt,FanPosRank,FanOvRank
Jamaal Charles*+\CharJa00,308,1,1
Peyton Manning*+\MannPe00,414,1,2
LeSean McCoy*+\McCoLe01,279,2,3
Matt Forte*\FortMa00,265,3,4
Marshawn Lynch*\LyncMa00,239,4,5
Knowshon Moreno\MoreKn00,237,5,6
Demaryius Thomas*\ThomDe03,229,1,7
Josh Gordon*+\GordJo02,227,2,8
Calvin Johnson*+\JohnCa00,221,3,9
Drew Brees*\BreeDr00,358,2,10
Jimmy Graham*+\GrahJi00,218,4,11
A.J. Green*\GreeA.00,209,5,12
Brandon Marshall*\MarsBr00,206,6,13
Dez Bryant*\BryaDe01,203,7,14
Eddie Lacy*\LacyEd00,208,6,15
DeMarco Murray*\MurrDe00,205,7,16
Adrian Peterson*\PeteAd01,204,8,17
Antonio Brown*\BrowAn04,199,8,18
Alshon Jeffery*\JeffAl00,195,9,19
Vernon Davis*\DaviVe00,161,1,20
Chris Johnson\JohnCh04,198,9,21
Eric Decker\DeckEr00,193,10,22
DeSean Jackson*\JackDe00,191,11,23
Julius Thomas*\ThomJu00,151,2,24
Fred Jackson\JackFr02,188,10,25
Reggie Bush\BushRe00,185,11,26
Ryan Mathews\MathRy00,184,12,27
Jordy Nelson\NelsJo00,179,12,28
Andre Johnson*\JohnAn02,171,13,29
Frank Gore*\GoreFr00,175,13,30
Tony Gonzalez*\GonzTo00,136,3,31
Le'Veon Bell\BellLe00,172,14,32
Jordan Cameron*\CameJo00,134,4,33
Pierre Garcon\GarcPi00,167,14,34
Jason Witten*\WittJa00,133,5,35
Alfred Morris*\MorrAl00,169,15,36
Vincent Jackson\JackVi00,164,15,37
Giovani Bernard\BernGi00,167,16,38
Anquan Boldin\BoldAn00,161,16,39
Joique Bell\BellJo01,164,17,40
Cam Newton*\NewtCa00,298,3,41
Andrew Luck*\LuckAn00,297,4,42
Larry Fitzgerald*\FitzLa00,156,17,43
Zac Stacy\StacZa00,157,18,44
Charles Clay\ClayCh00,119,6,45
Andy Dalton\DaltAn00,290,5,46
Greg Olsen\OlseGr00,118,7,47
Keenan Allen\AlleKe00,149,18,48
Philip Rivers*\RivePh00,287,6,49
Julian Edelman\EdelJu00,147,19,50
Matthew Stafford\StafMa00,285,7,51
Danny Woodhead\WoodDa02,147,19,52
Antonio Gates\GateAn00,107,8,53
Maurice Jones-Drew\DrewMa00,144,20,54
Riley Cooper\CoopRi00,139,20,55
T.Y. Hilton\HiltT.00,139,21,56
Torrey Smith\SmitTo02,139,22,57
Wes Welker\WelkWe00,138,23,58
Marvin Jones\JoneMa02,138,24,59
Martellus Bennett\BennMa00,104,9,60
Michael Floyd\FloyMi00,136,25,61
Rashad Jennings\JennRa00,139,21,62
Russell Wilson*\WilsRu00,272,8,63
DeAngelo Williams\WillDe02,138,22,64
Pierre Thomas\ThomPi00,136,23,65
Jared Cook\CookJa02,97,10,66
Mike Wallace\WallMi00,128,26,67
Nick Foles*\FoleNi00,266,9,68
Delanie Walker\WalkHu00,93,11,69
Tony Romo\RomoTo00,265,10,70
Brian Hartline\HartBr00,126,27,71
Colin Kaepernick\KaepCo00,264,11,72
Marques Colston\ColsMa00,124,28,73
Golden Tate\TateGo00,123,29,74
Victor Cruz\CruzVi00,122,30,75
Coby Fleener\FleeCo00,89,12,76
