Player,FantPt,FanPosRank,FanOvRank
Kyle Juszczyk\JuszKy00,,1,77
Andre Ellington\ElliAn00,126,24,78
Ben Roethlisberger\RoetBe00,261,12,
Alex Smith*\SmitAl03,253,13,
Tom Brady*\BradTo00,252,14,
Matt Ryan\RyanMa00,248,15,
Ryan Tannehill\TannRy00,240,16,
Carson Palmer\PalmCa00,221,17,
Robert Griffin\GrifRo01,217,18,
Joe Flacco\FlacJo00,208,19,
Geno Smith\SmitGe00,194,20,
Aaron Rodgers\RodgAa00,171,21,
Eli Manning\MannEl00,170,22,
Jay Cutler\CutlJa00,169,23,
Ryan Fitzpatrick\FitzRy00,167,24,
Chad Henne\HennCh01,165,25,
Mike Glennon\GlenMi00,158,26,
Terrelle Pryor\PryoTe00,144,27,
Josh McCown\McCoJo01,136,28,
EJ Manuel\ManuEJ00,133,29,
Rashard Mendenhall\MendRa00,126,25,
Donald Brown\BrowDo00,123,26,
C.J. Spiller\SpilC.00,122,27,
Jerricho Cotchery\CotcJe00,120,32,
Ray Rice\RiceRa00,120,28,
Stevan Ridley\RidlSt00,120,29,
Kendall Wright\WrigKe01,120,31,
LeGarrette Blount\BlouLe00,119,30,
Sam Bradford\BradSa00,119,30,
Emmanuel Sanders\SandEm00,117,33,
BenJarvus Green-Ellis\GreeBe00,116,31,
Jason Campbell\CampJa00,115,31,
Harry Douglas\DougHa00,115,34,
Steven Jackson\JackSt00,115,32,
Rod Streater\StreRo00,113,35,
Eddie Royal\RoyaEd00,111,36,
Ben Tate\TateBe00,111,33,
Doug Baldwin\BaldDo00,110,37,
Matt Cassel\CassMa00,110,32,
Trent Richardson\RichTr00,110,34,
Nate Washington\WashNa00,110,38,
Christian Ponder\PondCh00,107,33,
Greg Jennings\JennGr00,106,39,
Cordarrelle Patterson*+\PattCo00,105,40,
Matt Schaub\SchaMa00,105,34,
Case Keenum\KeenCa00,104,35,
Bilal Powell\PoweBi00,104,35,
Chris Ivory\IvorCh00,102,37,
Darren Sproles\SproDa00,102,36,
Terrance Williams\WillTe01,102,41,
Michael Vick\VickMi00,101,36,
James Jones\JoneJa04,100,42,
Jake Locker\LockJa00,100,37,
Denarius Moore\MoorDe02,100,43,
Steve Smith\SmitSt01,99,44,
Lamar Miller\MillLa01,98,38,
Dwayne Bowe\BoweDw00,97,45,
Mike Tolbert*+\TolbMi00,97,39,
Marlon Brown\BrowMa00,96,46,
Cecil Shorts\ShorCe00,96,47,
Bobby Rainey\RainBo00,95,40,
Rueben Randle\RandRu00,95,49,
Kenny Stills\StilKe00,95,48,
Brandon LaFell\LaFeBr00,94,50,
Shane Vereen\VereSh00,92,41,
DeAndre Hopkins\HopkDe00,90,51,
Hakeem Nicks\NickHa01,90,52,
Brandon Weeden\WeedBr00,90,38,
Ted Ginn\GinnTe00,89,53,
Jacquizz Rodgers\RodgJa00,89,42,
Montee Ball\BallMo00,88,43,
Kellen Clemens\ClemKe00,87,39,
Arian Foster\FostAr00,87,44,
Roddy White\WhitRo00,87,54,
Tim Wright\WrigTi01,87,13,
Jarrett Boykin\BoykJa00,86,55,
Tavon Austin\AustTa00,85,56,
Brent Celek\CeleBr00,84,14,
Garrett Graham\GrahGa00,83,16,
Rob Gronkowski\GronRo00,83,15,
Daniel Thomas\ThomDa03,83,45,
James Starks\StarJa00,82,46,
Darren McFadden\McFaDa00,81,47,
Marcel Reece*\ReecMa00,80,48,
Robert Woods\WoodRo02,80,57,
Steve Johnson\JohnSt00,79,58,
Matt McGloin\McGlMa01,79,40,
Jerome Simpson\SimpJe00,79,59,
Matt Flynn\FlynMa00,78,41,
Roy Helu\HeluRo00,77,49,
Scott Chandler\ChanSc00,76,18,
Aaron Dobson\DobsAa00,76,60,
Brandon Myers\MyerBr00,76,17,
Danny Amendola\AmenDa00,75,61,
Randall Cobb\CobbRa00,75,62,
Andre Brown\BrowAn03,74,50,
Zach Ertz\ErtzZa00,73,19,
Jordan Reed\ReedJo02,72,20,
Jeremy Kerley\KerlJe00,71,63,
Kenbrell Thompkins\ThomKe02,71,64,
Donnie Avery\AverDo00,70,65,
Julio Jones\JoneJu02,69,66,
Zach Miller\MillZa01,69,21,
Chris Ogbonnaya\OgboCh00,68,51,
Tiquan Underwood\UndeTi00,68,67,
Joseph Fauria\FaurJo00,67,22,
Bernard Pierce\PierBe00,66,52,
Mychal Rivera\RiveMy00,65,23,
Reggie Wayne\WaynRe00,65,68,
Jeff Cumberland\CumbJe00,64,25,
Jermaine Gresham\GresJe00,64,24,
Dexter McCluster*\McClDe00,64,70,
Austin Pettis\PettAu00,64,69,
Heath Miller\MillHe00,63,26,
Jason Snelling\SnelJa00,62,53,
Kris Durham\DurhKr00,61,72,
Jarius Wright\WrigJa02,61,71,
Brandon Bolden\BoldBr00,60,54,
Ace Sanders\SandAc00,60,73,
Justin Hunter\HuntJu00,59,74,
Thaddeus Lewis\LewiTh01,59,42,
Greg Little\LittGr00,59,76,
Andre Roberts\RobeAn00,59,75,
Jacoby Jones\JoneJa03,58,78,
Marcedes Lewis\LewiMa00,58,27,
Mohamed Sanu\SanuMo00,58,77,
Tyler Eifert\EifeTy00,57,28,
Shonn Greene\GreeSh00,57,55,
Jermaine Kearse\KearJe01,57,80,
Rishard Matthews\MattRi00,57,79,
Chris Givens\GiveCh00,56,82,
Ladarius Green\GreeLa00,56,29,
Leonard Hankerson\HankLe00,56,84,
Doug Martin\MartDo00,56,56,
Lance Moore\MoorLa00,56,83,
Santana Moss\MossSa00,56,81,
Jason Avant\AvanJa00,55,85,
Mike Brown\BrowMi00,55,87,
Jerrel Jernigan\JernJe00,55,86,
Jordan Todman\TodmJo00,55,57,
Bryce Brown\BrowBr02,54,58,
Knile Davis\DaviKn00,54,59,
David Nelson\NelsDa01,54,88,
Vincent Brown\BrowVi00,53,89,
Kendall Hunter\HuntKe00,53,61,
Mark Ingram\IngrMa01,53,60,
Dallas Clark\ClarDa00,52,30,
Santonio Holmes\HolmSa00,52,90,
Brandon Pettigrew\PettBr00,52,31,
Nate Burleson\BurlNa00,51,91,
Brandon Gibson\GibsBr00,51,92,
Rob Housler\HousRo01,51,32,
Kellen Winslow\WinsKe01,51,33,
Earl Bennett\BennEa00,50,93,
Lance Kendricks\KendLa00,50,34,
Willis McGahee\McGaWi00,50,62,
Cole Beasley\BeasCo00,49,96,
Justin Blackmon\BlacJu00,49,94,
Michael Bush\BushMi00,49,63,
Andre Holmes\HolmAn00,49,95,
Kyle Rudolph\RudoKy00,49,35,
Davone Bess\BessDa00,48,97,
Jermichael Finley\FinlJe00,48,36,
T.J. Graham\GrahT.00,48,99,
Aldrick Robinson\RobiAl00,48,98,
Toby Gerhart\GerhTo00,47,64,
Brandon Jacobs\JacoBr00,47,65,
Andrew Quarless\QuarAn00,47,37,
Marquise Goodwin\GoodMa00,46,100,
Darrius Heyward-Bey\HeywDa00,44,102,
Peyton Hillis\HillPe00,44,66,
Robert Meachem\MeacRo00,44,101,
Owen Daniels\DaniOw00,43,38,
Sean McGrath\McGrSe00,42,39,
Brian Quick\QuicBr00,42,103,
Logan Paulsen\PaulLo00,41,40,
Brian Hoyer\HoyeBr00,40,43,
Griff Whalen\WhalGr00,40,104,
Andre Caldwell\CaldAn00,39,107,
Clay Harbor\HarbCl00,39,41,
Kevin Ogletree\OgleKe00,39,106,
Sidney Rice\RiceSi01,39,105,
John Carlson\CarlJo00,38,42,
Benny Cunningham\CunnBe01,38,67,
Anthony Fasano\FasaAn00,38,43,
Ronnie Hillman\HillRo00,38,69,
Stephen Hill\HillSt00,38,108,
Mike James\JameMi00,38,68,
Kirk Cousins\CousKi00,36,44,
Brian Leonard\LeonBr00,36,70,
Chris Polk\PolkCh00,36,71,
Edwin Baker\BakeEd01,35,75,
Ahmad Bradshaw\BradAh00,35,74,
Keshawn Martin\MartKe01,35,109,
Joseph Randle\RandJo01,35,76,
Ben Watson\WatsBe00,35,110,
Fozzy Whittaker\WhitFo00,35,72,
Darrel Young\YounDa01,35,73,
Matt Asiata\AsiaMa00,34,77,
Michael Crabtree\CrabMi00,34,111,
Drew Davis\DaviDr00,34,112,
Daryl Richardson\RichDa00,34,78,
Scott Tolzien\TolzSc00,34,45,
Mike Williams\WillMi04,34,113,
Ed Dickson\DickEd00,33,44,
Luke Willson\WillLu00,33,79,
Stedman Bailey\BailSt01,32,114,
Jim Dray\DrayJi00,32,45,
Da'Rick Rogers\RogeDa01,31,115,
Josh Freeman\FreeJo00,30,46,
Ryan Griffin\GrifRy00,30,46,
Robert Turbin\TurbRo00,30,80,
Tandon Doss\DossTa00,29,117,
Kerry Taylor\TaylKe00,29,116,
LaVon Brazill\BrazLa00,28,118,
Ronnie Brown\BrowRo05,28,82,
Khiry Robinson\RobiKh00,28,81,
Antone Smith\SmitAn01,28,83,
Jonathan Dwyer\DwyeJo00,26,84,
Bruce Miller\MillBr02,26,85,
Gary Barnidge\BarnGa01,25,48,
Gavin Escobar\EscoGa00,25,47,
Darius Johnson\JohnDa06,25,119,
Frank Summers\SummFr00,25,86,
Miles Austin\AustMi00,24,120,
Jackie Battle\BattJa00,24,87,
Da'Rel Scott\ScotDa01,24,88,
Jacob Tamme\TammJa00,24,49,
Cory Harkey\HarkCo00,23,50,
Junior Hemingway\HemiJu00,23,122,
Dennis Johnson\JohnDe02,23,89,
Felix Jones\JoneFe00,23,90,
Josh Morgan\MorgJo00,23,121,
Kyle Orton\OrtoKy00,23,47,
Dennis Pitta\PittDe00,23,51,
Jonathan Stewart\StewJo00,22,91,
Anthony Dixon\DixoAn00,21,92,
Jake Ballard\BallJa21,20,53,
Jaron Brown\BrowJa03,20,124,
Stanley Havili\HaviSt00,20,94,
Andrew Hawkins\HawkAn00,20,123,
Michael Hoomanawanui\HoomMi00,20,52,
Anthony Sherman\SherAn00,20,93,
Tashard Choice\ChoiTa00,19,98,
Lance Dunbar\DunbLa00,19,96,
Jonathan Grimes\GrimJo01,19,95,
Dwayne Harris\HarrDw00,19,125,
Stepfan Taylor\TaylSt00,19,97,
Brandon Bostick\BostBr00,18,54,
Johnathan Franklin\FranJo01,18,99,
Marcus Thigpen\ThigMa00,18,100,
Levine Toilolo\ToilLe00,18,55,
Chase Daniel\DaniCh00,17,48,
David Wilson\WilsDa01,17,101,
Jed Collins\CollJe01,16,103,
Tarvaris Jackson\JackTa00,16,49,
John Kuhn\KuhnJo00,16,104,
DeVier Posey\PoseDe00,16,128,
Michael Preston\PresMi00,16,127,
Alfonso Smith\SmitAl22,16,102,
Damian Williams\WillDa04,16,126,
Malcom Floyd\FloyMa00,15,129,
Jeremy Ross\RossJe01,15,130,
Brittan Golden\GoldBr00,14,132,
A.J. Jenkins\JenkA.00,14,133,
Greg Salas\SalaGr00,14,131,
Kyle Williams\WillKy01,14,134,
Travis Benjamin\BenjTr00,13,135,
Tommy Bohanon\BohaTo00,13,106,
Derrick Coleman\ColeDe00,13,108,
Fred Davis\DaviFr01,13,57,
James Develin\DeveJa00,13,105,
Chase Ford\FordCh00,13,56,
Vonta Leach\LeacVo00,13,107,
Jeff Maehl\MaehJe00,13,136,
Seyi Ajirotutu\AjirSe00,12,137,
Josh Boyce\BoycJo00,12,139,
Rhett Ellison\ElliRh00,12,59,
Blaine Gabbert\GabbBl00,12,50,
Clyde Gates\GateCl00,12,138,
Domenik Hixon\HixoDo00,12,140,
Vance McDonald\McDoVa00,12,60,
Danny Noble\NoblDa00,12,58,
Isaiah Pead\PeadIs00,12,109,
Brandon Stokley\StokBr00,12,141,
Jeff Tuel\TuelJe00,12,51,
Joel Dreessen\DreeJo00,11,62,
Justin Forsett\ForsJu00,11,110,
Chris Gragg\GragCh00,11,61,
Chris Owusu\OwusCh00,11,142,
Theo Riddick\RiddTh00,11,111,
Phillip Tanner\TannPh00,11,112,
Kenny Britt\BritKe00,10,144,
Brice Butler\ButlBr00,10,143,
Josh Hill\HillJo02,10,63,
Will Johnson\JohnWi00,10,113,
Matt Simms\SimmMa00,10,52,
Deonte Thompson\ThomDe04,10,145,
Ryan Broyles\BroyRy00,9,150,
Stephen Burton\BurtSt00,9,149,
Kellen Davis\DaviKe01,9,147,
Jacoby Ford\FordJa01,9,146,
Dan Herron\HerrDa00,9,114,
Mario Manningham\MannMa01,9,151,
Jeron Mastrud\MastJe20,9,64,
Dion Sims\SimsDi00,9,148,
Dwayne Allen\AlleDw00,8,68,
Tom Crabtree\CrabTo00,8,67,
Josh Cribbs\CribJo01,8,156,
Mike Goodson\GoodMi00,8,116,
Chris Hogan\HogaCh00,8,152,
LaMichael James\JameLa00,8,119,
Ricardo Lockette\LockRi00,8,153,
Christine Michael\MichCh00,8,117,
Derek Moye\MoyeDe00,8,154,
Matthew Mulligan\MullMa00,8,69,
Louis Murphy\MurpLo00,8,155,
Bear Pascoe\PascBe00,8,115,
David Paulson\PaulDa01,8,66,
Tony Scheffler\ScheTo00,8,65,
Lee Smith\SmitLe00,8,118,
Travaris Cadet\CadeTr00,7,123,
Michael Egnew\EgneMi00,7,159,
Cyrus Gray\GrayCy00,7,120,
James Hanna\HannJa00,7,70,
David Johnson\JohnDa05,7,158,
Nick Kasa\KasaNi00,7,74,
Marlon Moore\MoorMa02,7,157,
Jamize Olawale\OlawJa00,7,121,
Alex Smith\SmitAl02,7,72,
Matt Spaeth\SpaeMa00,7,73,
Jeremy Stewart\StewJe00,7,122,
Taylor Thompson\ThomTa00,7,71,
Nick Toon\ToonNi00,7,160,
Myles White\WhitMy00,7,161,
Vick Ballard\BallVi00,6,124,
Austin Collie\CollAu00,6,163,
Josh Cooper\CoopJo00,6,165,
Michael Cox\CoxxMi00,6,127,
Tony Fiammetta\FiamTo00,6,126,
Taiwan Jones\JoneTa00,6,125,
Quinton Patton\PattQu00,6,166,
Dane Sanzenbacher\SanzDa00,6,164,
Zach Sudfeld\SudfZa00,6,75,
Markus Wheaton\WheaMa00,6,162,
Patrick DiMarco\DiMaPa00,5,130,
Patrick Edwards\EdwaPa00,5,168,
MarQueis Gray\GrayMa00,5,76,
Virgil Green\GreeVi00,5,78,
Michael Hill\HillMi00,5,132,
Deji Karim\KariDe00,5,129,
Erik Lorig\LoriEr99,5,131,
Niles Paul\PaulNi00,5,128,
Weslye Saunders\SaunWe00,5,77,
Tyrod Taylor\TaylTy00,5,53,
Teddy Williams\WillTe00,5,167,
C.J. Anderson\AndeC.00,4,136,
Kevin Brock\BrocKe00,4,81,
Nate Byham\ByhaNa00,4,135,
Garrett Celek\CeleGa00,4,80,
Jeff Demps\DempJe00,4,139,
Jerome Felton\FeltJe00,4,137,
Alex Green\GreeAl00,4,133,
Lestar Jean\JeanLe01,4,171,
Greg Jones\JoneGr01,4,138,
Brock Osweiler\OsweBr00,4,54,
Eric Page\PageEr00,4,169,
Allen Reisner\ReisAl00,4,79,
Will Ta'ufo'ou\TaufWi00,4,134,
Seneca Wallace\WallSe00,4,55,
Nick Williams\WillNi02,4,170,
Jonathan Baldwin\BaldJo00,3,177,
James Casey\CaseJa00,3,85,
John Conner\ConnJo00,3,141,
Juron Criner\CrinJu00,3,174,
Dominique Davis\DaviDo02,3,172,
Skye Dawson\DawsSk00,3,178,
Dorin Dickerson\DickDo00,3,83,
Larry Donnell\DonnLa00,3,84,
Bradie Ewing\EwinBr00,3,143,
Matt Hasselbeck\HassMa00,3,56,
Dominique Jones\JoneDo01,3,82,
Le'Ron McClain\McClLe00,3,146,
Collin Mooney\MoonCo00,3,140,
John Phillips\PhilJo00,3,86,
Isaac Redman\RedmIs20,3,145,
Denard Robinson\RobiDe00,3,179,
Michael Robinson\RobiMi00,3,144,
Brad Smith\SmitBr01,3,176,
LaRod Stephens-Howling\StepLa00,3,142,
Ryan Taylor\TaylRy00,3,87,
Lamaar Thomas\ThomLa02,3,175,
Joe Webb\WebbJo00,3,173,
Billy Bajema\BajeBi00,2,89,
Matt Barkley\BarkMa00,2,58,
Jack Doyle\DoylJa00,2,88,
Jeremy Ebert\EberJe00,2,181,
Mike Gillislee\GillMi00,2,148,
Ray Graham\GrahRa00,2,149,
Tori Gurley\GurlTo00,2,184,
Chad Hall\HallCh00,2,180,
Percy Harvin\HarvPe00,2,182,
Josh Johnson\JohnJo05,2,57,
Kassim Osgood\OsgoKa00,2,183,
Cedric Peerman\PeerCe00,2,150,
Bernard Scott\ScotBe00,2,147,
Kory Sperry\SperKo00,2,90,
Joe Banyard\BanyJo00,1,152,
Kenjon Barner\BarnKe00,1,151,
Orson Charles\CharOr00,1,156,
Kevin Cone\ConeKe00,1,188,
Marcus Easley\EaslMa00,1,185,
Armanti Edwards\EdwaAr00,1,189,
Robert Hughes\HughRo00,1,159,
Henry Hynoski\HynoHe01,1,94,
Mikel Leshoure\LeshMi00,1,155,
Zach Line\LineZa01,1,157,
Mike McNeill\McNeMi00,1,95,
Ben Obomanu\ObomBe00,1,190,
Michael Palmer\PalmMi00,1,92,
Konrad Reuland\ReulKo00,1,93,
Dante Rosario\RosaDa00,1,91,
Armond Smith\SmitAr00,1,160,
Craig Stevens\StevCr00,1,96,
Brandon Tate\TateBr00,1,192,
Brian Tyms\TymsBr00,1,187,
Spencer Ware\WareSp00,1,153,
Eric Weems\WeemEr00,1,191,
Marquess Wilson\WilsMa02,1,186,
Ronnie Wingo\WingRo00,1,158,
Cierre Wood\WoodCi00,1,154,
T.J. Yates\YateT.00,1,59,
Derek Anderson\AndeDe00,,60,
Joe Anderson\AndeJo00,,195,
Josh Bellamy\BellJo02,,212,
Kahlil Bell\BellKa00,,173,
Allen Bradford\BradAl00,,167,
Rex Burkhead\BurkRe00,,170,
Jake Byrne\ByrnJa00,,116,
Derek Carrier\CarrDe00,,198,
Delone Carter\CartDe01,,164,
Chase Coffman\CoffCh00,,107,
B.J. Cunningham\CunnB.00,,205,
Justice Cunningham\CunnJu00,,97,
Shaun Draughn\DrauSh00,,162,
Michael Ford\FordMi00,,169,
Richard Gordon\GordRi00,,98,
Saalim Hakim\HakiSa00,,215,
Chris Harper\HarpCh00,,202,
Clark Harris\HarrCl20,,109,
Ben Hartsock\HartBe00,,101,
Lavelle Hawkins\HawkLa00,,197,
Shaun Hill\HillSh00,,64,
D.C. Jefferson\JeffD.00,,113,
Quinn Johnson\JohnQu00,,166,
Landry Jones\JoneLa02,,61,
Travis Kelce\KelcTr00,,110,
Mike Leach\LeacMi00,,115,
Lance Lewis\LewiLa00,,204,
Elbert Mack\MackEl20,,207,
Colt McCoy\McCoCo00,,63,
Luke McCown\McCoLu00,,65,
Marvin McNutt\McNuMa00,,211,
Keavon Milton\MiltKe00,,103,
Tony Moeaki\MoeaTo00,,112,
Dan Orlovsky\OrloDa00,,62,
Montell Owens\OwenMo01,,168,
Tobais Palmer\PalmTo00,,210,
Chris Rainey\RainCh00,,165,
David Reed\ReedDa00,,193,
Adrien Robinson\RobiAd00,,108,
Brian Robiskie\RobiBr00,,203,
Evan Rodriguez\RodrEv00,,117,
Evan Royster\RoysEv00,,161,
Russell Shepard\ShepRu00,,208,
Visanthe Shiancoe\ShiaVi00,,99,
Matthew Slater*\SlatMa00,,200,
Brad Smelley\SmelBr00,,114,
Rodney Smith\SmitRo05,,213,
Nate Solder\SoldNa00,,100,
Ryan Spadola\SpadRy00,,209,
Micheal Spurlock\SpurMi00,,196,
Luke Stocker\StocLu00,,118,
Jake Stoneburner\StonJa01,,105,
Phillip Supernaw\SupePh00,,102,
Julian Talley\TallJu00,,206,
Chris Thompson\ThomCh03,,172,
Matthew Tucker\TuckMa00,,174,
Josh Vaughan\VaugJo01,,175,
Matt Veldman\VeldMa00,,104,
Justin Veltung\VeltJu00,,214,
Leon Washington\WashLe00,,163,
Ryan Whalen\WhalRy00,,199,
Brandon Williams\WillBr04,,111,
Kerwynn Williams\WillKe05,,171,
Stephen Williams\WillSt01,,201,
George Wilson\WilsGe01,,194,
Will Yeatman\YeatWi00,,106,
Richie Brockel\BrocRi00,-1,119,
Damaris Johnson\JohnDa04,-1,216,
Charlie Whitehurst\WhitCh02,-1,66,
Tyler Clutts\ClutTy00,-2,176,
Greg Jenkins\JenkGr00,-2,217,
Matt Moore\MoorMa01,-2,67,
Curtis Painter\PainCu00,-2,68,
Darius Reynaud\ReynDa00,-2,177,
Devon Wylie\WyliDe00,-2,218,
Trindon Holliday\HollTr00,-3,219,
