Rk,Player,FantPt,FanPosRank,FanOvRank
1,David Johnson*+\JohnDa08,328,1,1
2,Ezekiel Elliott*+\ElliEz00,293,2,2
3,LeSean McCoy*\McCoLe01,248,3,3
4,Aaron Rodgers*\RodgAa00,382,1,4
5,DeMarco Murray*\MurrDe00,243,4,5
6,Le'Veon Bell*\BellLe00,242,5,6
7,Devonta Freeman*\FreeDe00,232,6,7
8,LeGarrette Blount\BlouLe00,226,7,8
9,Matt Ryan*+\RyanMa00,355,2,9
10,Mike Evans*\EvanMi00,208,1,10
11,Jordy Nelson\NelsJo00,208,2,11
12,Antonio Brown*+\BrowAn04,207,3,12
13,Melvin Gordon*\GordMe00,210,8,13
14,Jordan Howard*\HowaJo00,201,9,14
15,Odell Beckham*\BeckOd00,196,4,15
16,Drew Brees*\BreeDr00,336,3,16
17,Mark Ingram\IngrMa01,198,10,17
18,T.Y. Hilton*\HiltT.00,185,5,18
19,Jay Ajayi*\AjayJa00,188,11,19
20,Julio Jones*+\JoneJu02,179,6,20
21,Travis Kelce*+\KelcTr00,138,1,21
22,Davante Adams\AdamDa01,174,7,22
23,Frank Gore\GoreFr00,176,12,23
24,Latavius Murray\MurrLa00,175,13,24
25,Brandin Cooks\CookBr00,168,8,25
26,Greg Olsen*\OlseGr00,131,2,26
27,Andrew Luck\LuckAn00,310,4,27
28,Kyle Rudolph\RudoKy00,128,3,28
29,Kirk Cousins*\CousKi00,306,5,29
30,Michael Thomas\ThomMi05,164,9,30
31,Doug Baldwin*\BaldDo00,162,10,31
32,Jimmy Graham*\GrahJi00,124,4,32
33,Delanie Walker*\WalkHu00,123,5,33
34,Isaiah Crowell\CrowIs00,165,14,34
35,Carlos Hyde\HydeCa00,165,15,35
36,Spencer Ware\WareSp00,161,16,36
37,Lamar Miller\MillLa01,160,18,37
38,Tevin Coleman\ColeTe01,160,17,38
39,Michael Crabtree\CrabMi00,152,11,39
40,Amari Cooper*\CoopAm00,151,12,40
41,Dak Prescott*\PresDa01,293,6,41
42,Cameron Brate\BratCa00,114,6,42
43,Martellus Bennett\BennMa00,113,7,43
44,Jeremy Hill\HillJe01,155,19,44
45,Todd Gurley\GurlTo01,155,20,45
46,Rishard Matthews\MattRi00,149,13,46
47,Matt Forte\FortMa00,154,21,47
48,Tyrell Williams\WillTy00,148,14,48
49,Zach Ertz\ErtzZa00,106,8,49
50,Jordan Reed*\ReedJo02,105,9,50
51,Matthew Stafford\StafMa00,282,7,51
52,Bilal Powell\PoweBi00,139,15,52
53,Terrelle Pryor\PryoTe00,138,16,53
54,Tyreek Hill*+\HillTy00,138,17,54
55,Jarvis Landry*\LandJa00,137,18,55
56,Larry Fitzgerald*\FitzLa00,137,19,56
57,Demaryius Thomas*\ThomDe03,136,20,57
58,Kelvin Benjamin\BenjKe00,134,21,58
59,Dez Bryant*\BryaDe01,134,22,59
60,Emmanuel Sanders*\SandEm00,134,23,60
61,Jonathan Stewart\StewJo00,138,22,61
62,Hunter Henry\HenrHu00,96,10,62
63,Julian Edelman\EdelJu00,132,24,63
64,Golden Tate\TateGo00,132,25,64
65,Antonio Gates\GateAn00,95,11,65
66,Terrance West\WestTe00,137,23,66
67,Mike Wallace\WallMi00,131,26,67
68,Tyrod Taylor\TaylTy00,271,8,68
69,Derek Carr*\CarrDe02,270,9,69
70,Blake Bortles\BortBl00,270,10,70
71,Russell Wilson\WilsRu00,270,11,71
72,Kenny Britt\BritKe00,128,27,72
73,Kenny Stills\StilKe00,127,28,73
74,Allen Robinson\RobiAl02,126,29,74
75,Coby Fleener\FleeCo00,89,12,75
76,Adam Thielen\ThieAd00,126,30,76
77,Ryan Mathews\MathRy00,132,24,77
78,Marcus Mariota\MariMa01,268,12,78
79,Ben Roethlisberger*\RoetBe00,266,13,
80,Philip Rivers*\RivePh00,263,14,
81,Jameis Winston\WinsJa00,262,15,
82,Tom Brady*\BradTo00,261,17,
83,Andy Dalton*\DaltAn00,261,16,
84,Cam Newton\NewtCa00,260,18,
85,Carson Palmer\PalmCa00,249,19,
86,Joe Flacco\FlacJo00,244,20,
87,Eli Manning\MannEl00,226,21,
88,Alex Smith*\SmitAl03,226,22,
89,Sam Bradford\BradSa00,223,23,
90,Carson Wentz\WentCa00,217,24,
91,Colin Kaepernick\KaepCo00,200,25,
92,Trevor Siemian\SiemTr00,194,26,
93,Ryan Tannehill\TannRy00,192,27,
94,Brock Osweiler\OsweBr00,168,28,
95,Ryan Fitzpatrick\FitzRy00,133,29,
96,Jamison Crowder\CrowJa00,125,32,
97,DeSean Jackson\JackDe00,125,31,
98,Pierre Garcon\GarcPi00,122,33,
99,Brandon LaFell\LaFeBr00,122,34,
100,Robert Kelley\KellRo00,121,25,
101,A.J. Green*\GreeA.00,120,35,
102,Willie Snead\SneaWi00,120,36,
103,DeAndre Hopkins\HopkDe00,119,38,
104,Sterling Shepard\ShepSt00,119,37,
105,Mike Gillislee\GillMi00,117,27,
106,Marvin Jones\JoneMa02,117,39,
