Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
37,Mike Evans,TAM,914.214645,4.508160179,0.996499081,26,WR,13,13,118,67,0.57,1157,17.3,8,54,67,9.8,5.2,89,0,33,166,8,33
38,Le'Veon Bell,NYJ,354.1681198,2.519178286,1.019934161,27,RB,15,15,78,66,0.85,461,7,1,20,23,5.9,4.4,30.7,1,63,149,21,63
39,Michael Gallup,DAL,850.5589935,4.031080377,0.906095345,23,WR,14,12,113,66,0.58,1107,16.8,6,50,62,9.8,4.7,79.1,0,55,147,20,55
40,Emmanuel Sanders,2TM,625.6078493,3.74519797,0.780631489,32,,17,16,97,66,0.68,869,13.2,5,41,75,9,3.9,51.1,0,103,124,32,
41,Dede Westbrook,JAX,505.1112926,3.262928644,0.837578679,26,WR,15,11,101,66,0.65,660,10,3,31,39,6.5,4.4,44,1,135,91,50,
42,Kenny Golladay,DET,863.6063795,5.126178274,1.140034479,26,WR,16,16,116,65,0.56,1190,18.3,11,52,75,10.3,4.1,74.4,1,20,183,3,20
43,Mark Andrews,BAL,640.8868489,4.805780946,1.149672042,23,te,15,4,98,64,0.65,852,13.3,10,44,51,8.7,4.3,56.8,2,13,143,2,13
44,Stefon Diggs,MIN,843.5088973,3.940809236,1.445824754,26,WR,15,15,94,63,0.67,1130,17.9,6,41,66,12,4.2,75.3,4,52,149,18,52
45,Calvin Ridley,ATL,690.2621746,4.089412197,0.860187705,25,WR,13,10,93,63,0.68,866,13.7,7,47,36,9.3,4.8,66.6,0,65,134,23,65
46,Jason Witten,DAL,400.7010425,3.372115023,0.757116108,37,TE,16,16,83,63,0.76,529,8.4,4,27,33,6.4,3.9,33.1,1,77,77,12,77
47,Danny Amendola,DET,518.8612117,2.690441804,0.641263413,34,WR,15,10,97,62,0.64,678,10.9,1,36,47,7,4.1,45.2,0,153,79,60,
48,Marvin Jones,DET,622.6524196,4.49752389,0.853417991,29,WR,13,11,91,62,0.68,779,12.6,9,41,47,8.6,4.8,59.9,0,71,132,27,71
49,Devonta Freeman,ATL,325.8590296,2.98234169,1.258945465,27,RB,14,14,70,59,0.84,410,6.9,4,17,28,5.9,4.2,29.3,3,96,139,26,
50,Diontae Johnson,PIT,505.4162675,3.470894518,1.411367387,23,WR,16,12,92,59,0.64,680,11.5,5,31,45,7.4,3.7,42.5,5,120,104,40,
51,Mohamed Sanu,2TM,404.2955916,2.783657868,0.582321532,30,,15,12,89,59,0.66,520,8.8,2,30,28,5.8,3.9,34.7,0,181,65,71,
52,Dallas Goedert,PHI,465.7991791,3.449155849,0.938408901,24,TE,15,9,87,58,0.67,607,10.5,5,33,28,7,3.9,40.5,2,62,87,10,62
53,Tyreek Hill,KAN,709.1799585,3.937123694,0.848743213,25,WR,12,12,89,58,0.65,860,14.8,7,39,57,9.7,4.8,71.7,0,73,130,28,73
54,Terry McLaurin,WAS,708.4125889,3.957289853,0.828827189,24,WR,14,14,93,58,0.62,919,15.8,7,43,75,9.9,4.1,65.6,0,67,134,24,67
55,D.K. Metcalf,SEA,660.0787004,3.96242575,1.212781245,22,WR,16,15,100,58,0.58,900,15.5,7,39,54,9,3.6,56.3,3,100,129,30,
56,Deebo Samuel,SFO,604.1879363,2.914641125,1.083553916,23,WR,15,11,81,57,0.7,802,14.1,3,32,42,9.9,3.8,53.5,2,70,132,26,70
57,Sterling Shepard,NYG,526.4021876,2.925228618,0.739339029,26,WR,10,10,83,57,0.69,576,10.1,3,29,36,6.9,5.7,57.6,0,146,85,54,
58,Randall Cobb,DAL,625.4110779,2.961098435,0.972953103,29,wr,15,6,83,55,0.66,828,15.1,3,41,59,10,3.7,55.2,2,129,100,47,
59,Hunter Henry,LAC,544.3815527,3.350805194,0.856387178,25,TE,12,12,76,55,0.72,652,11.9,5,36,30,8.6,4.6,54.3,1,54,95,8,54
60,Ezekiel Elliott,DAL,306.3268949,1.984401474,1.626700965,24,RB,16,16,71,54,0.76,420,7.8,2,21,27,5.9,3.4,26.3,3,5,258,4,5
61,Curtis Samuel,CAR,465.7079577,3.47227962,0.746800516,23,WR,16,15,105,54,0.51,627,11.6,6,36,44,6,3.4,39.2,0,109,118,36,
62,Dalvin Cook,MIN,398.3298983,1.587173241,1.718276097,24,RB,14,14,63,53,0.84,519,9.8,0,26,31,8.2,3.8,37.1,4,6,239,5,6
63,Robby Anderson,NYJ,574.1337687,3.286148286,0.853707504,26,WR,16,15,96,52,0.54,779,15,5,35,92,8.1,3.3,48.7,1,114,110,38,
64,Saquon Barkley,NYG,351.9199853,2.118165516,1.154944886,22,RB,13,13,73,52,0.71,438,8.4,2,14,65,6,4,33.7,1,21,192,10,21
65,A.J. Brown,TEN,762.7908864,4.006138631,1.034288158,22,WR,16,11,84,52,0.62,1051,20.2,8,39,91,12.5,3.3,65.7,1,34,165,9,34
66,Anthony Miller,CHI,489.6002636,2.593775739,0.73373417,25,wr,16,7,85,52,0.61,656,12.6,2,34,35,7.7,3.3,41,1,158,76,63,
67,Greg Olsen,CAR,470.9137082,2.570415517,0.597953215,34,TE,14,14,82,52,0.63,597,11.5,2,34,41,7.3,3.7,42.6,0,168,72,15,
68,Sammy Watkins,KAN,526.9541064,2.80957748,0.934536455,26,WR,14,13,90,52,0.58,673,12.9,3,30,68,7.5,3.7,48.1,2,138,87,52,
