Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Patrick Peterson*+\PetePa00,ARI,23,LCB,16,16,8,6,75.00%,54,9,0,3,19,6.8,0.4,3.4,3
Jeremy Ross\RossJe01,2TM,25,,13,2,12,6,50.00%,67,11.2,1,0,19,5.6,0.5,5.2,2
Dane Sanzenbacher\SanzDa00,CIN,25,wr,10,1,8,6,75.00%,61,10.2,0,3,23,7.6,0.6,6.1,0
Dion Sims\SimsDi00,MIA,22,te/wr,15,5,10,6,60.00%,32,5.3,1,3,8,3.2,0.4,2.1,0
Ryan Taylor\TaylRy00,GNB,26,te,14,1,9,6,66.70%,30,5,0,3,8,3.3,0.4,2.1,1
Markus Wheaton\WheaMa00,PIT,22,wr,12,1,13,6,46.20%,64,10.7,0,5,21,4.9,0.5,5.3,0
Matt Asiata\AsiaMa00,MIN,26,rb,11,1,8,5,62.50%,13,2.6,0,1,8,1.6,0.5,1.2,1
Travis Benjamin\BenjTr00,CLE,24,wr,8,3,13,5,38.50%,105,21,0,4,39,8.1,0.6,13.1,2
Tashard Choice\ChoiTa00,2TM,29,,15,0,9,5,55.60%,15,3,0,0,5,1.7,0.3,1,0
Jack Doyle\DoylJa00,IND,23,te,15,4,7,5,71.40%,19,3.8,0,0,8,2.7,0.3,1.3,0
Patrick Edwards\EdwaPa00,DET,25,wr,4,2,11,5,45.50%,46,9.2,0,2,11,4.2,1.3,11.5,0
Rhett Ellison\ElliRh00,MIN,25,fb/te,11,6,10,5,50.00%,61,12.2,1,4,17,6.1,0.5,5.5,0
Chris Gragg\GragCh00,BUF,23,te,9,1,7,5,71.40%,53,10.6,1,4,28,7.6,0.6,5.9,0
Greg Jones\JoneGr01,HOU,32,fb,16,5,11,5,45.50%,34,6.8,0,1,19,3.1,0.3,2.1,0
Ricardo Lockette\LockRi00,SEA,27,wr,8,1,7,5,71.40%,82,16.4,0,3,33,11.7,0.6,10.3,0
Michael Preston\PresMi00,TEN,24,,7,0,7,5,71.40%,37,7.4,2,2,10,5.3,0.7,5.3,0
Allen Reisner\ReisAl00,JAX,25,te,5,3,9,5,55.60%,40,8,0,1,16,4.4,1,8,0
Lee Smith\SmitLe00,BUF,26,fb/TE,16,14,9,5,55.60%,78,15.6,0,4,28,8.7,0.3,4.9,0
Zach Sudfeld\SudfZa00,2TM,24,,14,2,10,5,50.00%,63,12.6,0,0,25,6.3,0.4,4.5,0
Joe Webb\WebbJo00,MIN,27,wr,16,1,11,5,45.50%,33,6.6,0,2,15,3,0.3,2.1,0
Jackie Battle\BattJa00,TEN,30,,16,0,5,4,80.00%,36,9,0,1,24,7.2,0.3,2.3,0
Michael Bush\BushMi00,CHI,29,,15,0,8,4,50.00%,48,12,1,2,17,6,0.3,3.2,0
Tom Crabtree\CrabTo00,TAM,28,te,7,5,7,4,57.10%,21,5.3,1,2,14,3,0.6,3,0
James Develin\DeveJa00,NWE,25,fb/rb,16,6,4,4,100.00%,62,15.5,0,3,31,15.5,0.3,3.9,0
Tony Fiammetta\FiamTo00,CHI,27,fb,16,7,6,4,66.70%,57,14.3,0,2,30,9.5,0.3,3.6,0
Johnathan Franklin\FranJo01,GNB,24,,11,0,5,4,80.00%,30,7.5,0,2,10,6,0.4,2.7,2
Brittan Golden\GoldBr00,ARI,25,,5,0,10,4,40.00%,136,34,0,3,63,13.6,0.8,27.2,0
BenJarvus Green-Ellis\GreeBe00,CIN,28,RB,16,16,8,4,50.00%,22,5.5,0,1,10,2.8,0.3,1.4,2
Lestar Jean\JeanLe01,HOU,25,,13,0,8,4,50.00%,35,8.8,0,3,11,4.4,0.3,2.7,0
David Johnson\JohnDa05,PIT,26,te/wr,5,2,6,4,66.70%,70,17.5,0,3,32,11.7,0.8,14,0
Jeff Maehl\MaehJe00,PHI,24,,16,0,9,4,44.40%,67,16.8,1,3,37,7.4,0.3,4.2,0
Eric Page\PageEr00,TAM,22,wr,16,1,9,4,44.40%,68,17,0,3,30,7.6,0.3,4.3,3
Niles Paul\PaulNi00,WAS,24,fb/te/wr,15,4,8,4,50.00%,51,12.8,0,2,25,6.4,0.3,3.4,0
John Phillips\PhilJo00,SDG,26,te,15,6,6,4,66.70%,30,7.5,0,1,13,5,0.3,2,0
Chris Polk\PolkCh00,PHI,24,,15,0,5,4,80.00%,61,15.3,0,1,34,12.2,0.3,4.1,0
Isaac Redman\RedmIs20,PIT,29,rb,3,1,5,4,80.00%,14,3.5,0,1,7,2.8,1.3,4.7,1
Theo Riddick\RiddTh00,DET,22,,14,0,8,4,50.00%,26,6.5,0,1,8,3.3,0.3,1.9,0
Weslye Saunders\SaunWe00,IND,24,te,6,1,11,4,36.40%,46,11.5,0,3,18,4.2,0.7,7.7,0
Nick Toon\ToonNi00,NOR,25,wr,8,3,12,4,33.30%,68,17,0,2,35,5.7,0.5,8.5,0
Darrel Young\YounDa01,WAS,26,fb,13,7,9,4,44.40%,71,17.8,1,1,62,7.9,0.3,5.5,0
Seyi Ajirotutu\AjirSe00,SDG,26,,14,0,4,3,75.00%,64,21.3,1,3,26,16,0.2,4.6,0
Jonathan Baldwin\BaldJo00,SFO,24,wr,7,1,9,3,33.30%,28,9.3,0,1,15,3.1,0.4,4,0
Kevin Brock\BrocKe00,2TM,27,,8,0,6,3,50.00%,36,12,0,0,25,6,0.4,4.5,0
Nate Byham\ByhaNa00,TAM,25,fb/te,4,3,3,3,100.00%,38,12.7,0,2,34,12.7,0.8,9.5,0
James Casey\CaseJa00,PHI,29,te,15,1,6,3,50.00%,31,10.3,0,3,12,5.2,0.2,2.1,0
Michael Cox\CoxxMi00,NYG,25,rb,14,1,3,3,100.00%,12,4,0,1,11,4,0.2,0.9,0
Juron Criner\CrinJu00,OAK,24,,1,0,8,3,37.50%,32,10.7,0,2,20,4,3,32,0
Kellen Davis\DaviKe01,SEA,28,te/wr,15,4,4,3,75.00%,32,10.7,1,2,23,8,0.2,2.1,0
Jeff Demps\DempJe00,TAM,23,,2,0,3,3,100.00%,21,7,0,1,10,7,1.5,10.5,0
Anthony Dixon\DixoAn00,SFO,26,fb,16,1,3,3,100.00%,30,10,0,1,19,10,0.2,1.9,0
Larry Donnell\DonnLa00,NYG,25,te,16,1,6,3,50.00%,31,10.3,0,2,11,5.2,0.2,1.9,0
Jeremy Ebert\EberJe00,JAX,24,,5,0,8,3,37.50%,18,6,0,0,8,2.3,0.6,3.6,0
Quinton Patton\PattQu00,SFO,23,,6,0,5,3,60.00%,34,11.3,0,1,29,6.8,0.5,5.7,0
Alex Smith\SmitAl02,CIN,31,te,16,1,6,3,50.00%,12,4,1,1,7,2,0.2,0.8,1
