Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Larry Fitzgerald*\FitzLa00,ARI,33,WR,16,16,150,107,71.30%,1023,9.6,6,60,33,6.8,6.7,63.9,2
Antonio Brown*+\BrowAn04,PIT,28,WR,15,15,154,106,68.80%,1284,12.1,12,64,51,8.3,7.1,85.6,0
Odell Beckham*\BeckOd00,NYG,24,WR,16,16,169,101,59.80%,1367,13.5,10,66,75,8.1,6.3,85.4,3
Julian Edelman\EdelJu00,NWE,30,WR,16,13,159,98,61.60%,1106,11.3,3,56,77,7,6.1,69.1,3
Jordy Nelson\NelsJo00,GNB,31,WR,16,16,152,97,63.80%,1257,13,14,62,60,8.3,6.1,78.6,1
Mike Evans*\EvanMi00,TAM,23,WR,16,16,173,96,55.50%,1321,13.8,12,82,45,7.6,6,82.6,0
Doug Baldwin*\BaldDo00,SEA,28,WR,16,15,125,94,75.20%,1128,12,7,51,59,9,5.9,70.5,1
Jarvis Landry*\LandJa00,MIA,24,WR,16,16,131,94,71.80%,1136,12.1,4,53,71,8.7,5.9,71,2
Michael Thomas\ThomMi05,NOR,23,WR,15,12,121,92,76.00%,1137,12.4,9,62,46,9.4,6.1,75.8,2
T.Y. Hilton*\HiltT.00,IND,27,WR,16,16,155,91,58.70%,1448,15.9,6,66,63,9.3,5.7,90.5,0
Golden Tate\TateGo00,DET,28,WR,16,16,135,91,67.40%,1077,11.8,4,47,67,8,5.7,67.3,2
Demaryius Thomas*\ThomDe03,DEN,29,WR,16,16,144,90,62.50%,1083,12,5,50,55,7.5,5.6,67.7,2
Michael Crabtree\CrabMi00,OAK,29,WR,16,16,145,89,61.40%,1003,11.3,8,56,56,6.9,5.6,62.7,2
Dennis Pitta\PittDe00,BAL,31,TE,16,12,121,86,71.10%,729,8.5,2,37,30,6,5.4,45.6,1
Travis Kelce*+\KelcTr00,KAN,27,TE,16,15,117,85,72.60%,1125,13.2,4,55,80,9.6,5.3,70.3,0
Stefon Diggs\DiggSt00,MIN,23,WR,13,11,112,84,75.00%,903,10.8,3,48,46,8.1,6.5,69.5,0
Amari Cooper*\CoopAm00,OAK,22,WR,16,14,132,83,62.90%,1153,13.9,5,49,64,8.7,5.2,72.1,2
Julio Jones*+\JoneJu02,ATL,27,WR,14,14,129,83,64.30%,1409,17,6,64,75,10.9,5.9,100.6,0
Kyle Rudolph\RudoKy00,MIN,27,TE,16,16,132,83,62.90%,840,10.1,7,50,44,6.4,5.2,52.5,0
David Johnson*+\JohnDa08,ARI,25,RB,16,16,120,80,66.70%,879,11,4,42,58,7.3,5,54.9,5
Greg Olsen*\OlseGr00,CAR,31,TE,16,16,129,80,62.00%,1073,13.4,3,54,78,8.3,5,67.1,0
Pierre Garcon\GarcPi00,WAS,30,WR,16,16,114,79,69.30%,1041,13.2,3,53,70,9.1,4.9,65.1,0
Emmanuel Sanders*\SandEm00,DEN,29,WR,16,16,137,79,57.70%,1032,13.1,5,50,64,7.5,4.9,64.5,1
Brandin Cooks\CookBr00,NOR,23,WR,16,12,117,78,66.70%,1173,15,8,46,98,10,4.9,73.3,1
Zach Ertz\ErtzZa00,PHI,26,TE,14,12,106,78,73.60%,816,10.5,4,42,30,7.7,5.6,58.3,0
DeAndre Hopkins\HopkDe00,HOU,24,WR,16,16,151,78,51.70%,954,12.2,4,57,51,6.3,4.9,59.6,0
Terrelle Pryor\PryoTe00,CLE,27,WR,16,15,140,77,55.00%,1007,13.1,4,50,54,7.2,4.8,62.9,1
Davante Adams\AdamDa01,GNB,24,WR,16,15,121,75,62.00%,997,13.3,12,46,66,8.2,4.7,62.3,2
Cole Beasley\BeasCo00,DAL,27,fb/wr,16,6,98,75,76.50%,833,11.1,5,51,47,8.5,4.7,52.1,0
Le'Veon Bell*\BellLe00,PIT,24,RB,12,12,94,75,79.80%,616,8.2,2,32,32,6.6,6.3,51.3,4
Jordan Matthews\MattJo00,PHI,24,WR,14,13,117,73,62.40%,804,11,3,38,54,6.9,5.2,57.4,1
Allen Robinson\RobiAl02,JAX,23,WR,16,16,151,73,48.30%,883,12.1,6,51,42,5.8,4.6,55.2,1
Willie Snead\SneaWi00,NOR,24,wr,15,4,104,72,69.20%,895,12.4,4,51,49,8.6,4.8,59.7,2
Mike Wallace\WallMi00,BAL,30,WR,16,16,116,72,62.10%,1017,14.1,4,43,95,8.8,4.5,63.6,1
Steve Smith\SmitSt01,BAL,37,WR,14,14,101,70,69.30%,799,11.4,5,39,52,7.9,5,57.1,0
Adam Thielen\ThieAd00,MIN,26,WR,16,10,92,69,75.00%,967,14,5,44,71,10.5,4.3,60.4,2
Tyrell Williams\WillTy00,SDG,24,WR,16,12,119,69,58.00%,1059,15.3,7,48,51,8.9,4.3,66.2,0
Jason Witten\WittJa00,DAL,34,TE,16,16,95,69,72.60%,673,9.8,3,34,35,7.1,4.3,42.1,1
Kenny Britt\BritKe00,LAR,28,WR,15,15,111,68,61.30%,1002,14.7,5,47,66,9,4.5,66.8,2
Anquan Boldin\BoldAn00,DET,36,WR,16,16,95,67,70.50%,584,8.7,8,41,35,6.1,4.2,36.5,0
Jamison Crowder\CrowJa00,WAS,23,WR,16,9,99,67,67.70%,847,12.6,7,34,55,8.6,4.2,52.9,2
A.J. Green*\GreeA.00,CIN,28,WR,10,10,100,66,66.00%,964,14.6,4,42,54,9.6,6.6,96.4,0
Cameron Meredith\MereCa00,CHI,24,WR,14,10,97,66,68.00%,888,13.5,4,44,50,9.2,4.7,63.4,3
Jordan Reed*\ReedJo02,WAS,26,TE,12,8,89,66,74.20%,686,10.4,6,41,33,7.7,5.5,57.2,1
Jimmy Graham*\GrahJi00,SEA,30,TE,16,15,95,65,68.40%,923,14.2,6,45,42,9.7,4.1,57.7,2
Rishard Matthews\MattRi00,TEN,27,WR,16,10,108,65,60.20%,945,14.5,9,43,60,8.8,4.1,59.1,1
Sterling Shepard\ShepSt00,NYG,23,WR,16,16,105,65,61.90%,683,10.5,8,42,32,6.5,4.1,42.7,0
Delanie Walker*\WalkHu00,TEN,32,TE,15,10,102,65,63.70%,800,12.3,7,35,47,7.8,4.3,53.3,1
Jeremy Kerley\KerlJe00,SFO,28,WR,16,13,115,64,55.70%,667,10.4,3,33,33,5.8,4,41.7,4
Brandon LaFell\LaFeBr00,CIN,30,WR,16,14,107,64,59.80%,862,13.5,6,42,86,8.1,4,53.9,0
Kelvin Benjamin\BenjKe00,CAR,25,WR,16,13,118,63,53.40%,941,14.9,7,50,50,8,3.9,58.8,1
Marqise Lee\LeexMa00,JAX,25,wr,16,6,105,63,60.00%,851,13.5,3,44,51,8.1,3.9,53.2,1
Eric Ebron\EbroEr00,DET,23,TE,13,13,85,61,71.80%,711,11.7,1,37,61,8.4,4.7,54.7,0
Tyreek Hill*+\HillTy00,KAN,22,wr,16,1,83,61,73.50%,593,9.7,6,31,49,7.1,3.8,37.1,4
Randall Cobb\CobbRa00,GNB,26,WR,13,10,84,60,71.40%,610,10.2,4,36,47,7.3,4.6,46.9,1
James White\WhitJa02,NWE,24,rb,16,4,86,60,69.80%,551,9.2,5,26,61,6.4,3.8,34.4,0
Jack Doyle\DoylJa00,IND,26,TE,16,14,75,59,78.70%,584,9.9,5,32,24,7.8,3.7,36.5,1
Brandon Marshall\MarsBr00,NYJ,32,WR,15,15,128,59,46.10%,788,13.4,3,45,41,6.2,3.9,52.5,0
Mohamed Sanu\SanuMo00,ATL,27,WR,15,15,81,59,72.80%,653,11.1,4,33,59,8.1,3.9,43.5,1
Tavon Austin\AustTa00,LAR,26,WR,15,15,106,58,54.70%,509,8.8,3,25,43,4.8,3.9,33.9,5
Quincy Enunwa\EnunQu00,NYJ,24,WR,16,13,105,58,55.20%,857,14.8,4,37,69,8.2,3.6,53.6,0
Dontrelle Inman\InmaDo00,SDG,27,WR,16,16,97,58,59.80%,810,14,4,37,57,8.4,3.6,50.6,0
Bilal Powell\PoweBi00,NYJ,28,rb/wr,16,4,74,58,78.40%,388,6.7,2,21,22,5.2,3.6,24.3,1
Cameron Brate\BratCa00,TAM,25,TE,15,10,81,57,70.40%,660,11.6,8,40,38,8.1,3.8,44,1
Charles Clay\ClayCh00,BUF,27,TE,15,15,87,57,65.50%,552,9.7,4,22,40,6.3,3.8,36.8,0
DeSean Jackson\JackDe00,WAS,30,WR,15,15,100,56,56.00%,1005,17.9,4,35,80,10.1,3.7,67,0
DeVante Parker\ParkDe01,MIA,23,WR,15,8,87,56,64.40%,744,13.3,4,35,56,8.6,3.7,49.6,0
Gary Barnidge\BarnGa01,CLE,31,TE,16,16,82,55,67.10%,612,11.1,2,34,43,7.5,3.4,38.3,0
Martellus Bennett\BennMa00,NWE,29,TE,16,12,73,55,75.30%,701,12.7,7,31,58,9.6,3.4,43.8,0
Adam Humphries\HumpAd00,TAM,23,wr,15,4,83,55,66.30%,622,11.3,2,27,42,7.5,3.7,41.5,3
Marvin Jones\JoneMa02,DET,26,WR,15,15,103,55,53.40%,930,16.9,4,41,73,9,3.7,62,0
Tyler Boyd\BoydTy00,CIN,22,wr,16,2,81,54,66.70%,603,11.2,1,33,30,7.4,3.4,37.7,1
C.J. Fiedorowicz\FiedC.00,HOU,25,TE,15,15,89,54,60.70%,559,10.4,4,30,26,6.3,3.6,37.3,1
Devonta Freeman*\FreeDe00,ATL,24,RB,16,16,65,54,83.10%,462,8.6,2,22,35,7.1,3.4,28.9,1
Ted Ginn\GinnTe00,CAR,31,WR,16,8,95,54,56.80%,752,13.9,4,27,88,7.9,3.4,47,3
Antonio Gates\GateAn00,SDG,36,TE,14,9,93,53,57.00%,548,10.3,7,34,27,5.9,3.8,39.1,1
Duke Johnson\JohnDu00,CLE,23,rb,16,1,74,53,71.60%,514,9.7,0,24,32,6.9,3.3,32.1,2
DeMarco Murray*\MurrDe00,TEN,28,RB,16,16,67,53,79.10%,377,7.1,3,20,35,5.6,3.3,23.6,3
Theo Riddick\RiddTh00,DET,25,RB,10,8,67,53,79.10%,371,7,5,20,23,5.5,5.3,37.1,0
Alshon Jeffery\JeffAl00,CHI,26,WR,12,12,94,52,55.30%,821,15.8,2,42,54,8.7,4.3,68.4,0
Cordarrelle Patterson*+\PattCo00,MIN,25,WR,16,8,70,52,74.30%,453,8.7,2,23,39,6.5,3.3,28.3,2
Darren Sproles*\SproDa00,PHI,33,rb,15,5,71,52,73.20%,427,8.2,2,19,73,6,3.5,28.5,1
Robert Woods\WoodRo02,BUF,24,WR,13,10,76,51,67.10%,613,12,1,34,34,8.1,3.9,47.2,0
Dez Bryant*\BryaDe01,DAL,28,WR,13,13,96,50,52.10%,796,15.9,8,38,56,8.3,3.8,61.2,1
Coby Fleener\FleeCo00,NOR,28,TE,16,8,81,50,61.70%,631,12.6,3,28,50,7.8,3.1,39.4,2
Ryan Griffin\GrifRy00,HOU,26,te,16,5,74,50,67.60%,442,8.8,2,19,45,6,3.1,27.6,1
Lance Kendricks\KendLa00,LAR,28,TE,16,16,87,50,57.50%,499,10,2,22,44,5.7,3.1,31.2,1
LeSean McCoy*\McCoLe01,BUF,28,RB,15,15,57,50,87.70%,356,7.1,1,17,41,6.2,3.3,23.7,3
T.J. Yeldon\YeldT.00,JAX,23,RB,15,13,68,50,73.50%,312,6.2,1,16,17,4.6,3.3,20.8,2
Chris Thompson\ThomCh03,WAS,26,,16,0,62,49,79.00%,349,7.1,2,19,38,5.6,3.1,21.8,2
Eli Rogers\RogeEl00,PIT,24,wr,13,8,66,48,72.70%,594,12.4,3,24,39,9,3.7,45.7,2
Will Tye\TyexWi00,NYG,25,TE,16,10,70,48,68.60%,395,8.2,1,16,27,5.6,3,24.7,0
Travis Benjamin\BenjTr00,SDG,27,WR,14,8,75,47,62.70%,677,14.4,4,25,54,9,3.4,48.4,5
Will Fuller\FullWi01,HOU,22,WR,14,13,92,47,51.10%,635,13.5,2,31,53,6.9,3.4,45.4,2
Zach Miller\MillZa02,CHI,32,TE,10,8,64,47,73.40%,486,10.3,4,28,34,7.6,4.7,48.6,0
Mark Ingram\IngrMa01,NOR,27,RB,16,14,58,46,79.30%,319,6.9,4,18,22,5.5,2.9,19.9,2
Chris Conley\ConlCh00,KAN,24,WR,16,11,69,44,63.80%,530,12,0,30,39,7.7,2.8,33.1,1
Vernon Davis\DaviVe00,WAS,32,TE/wr,16,14,59,44,74.60%,583,13.3,2,22,44,9.9,2.8,36.4,0
Jeremy Maclin\MaclJe00,KAN,28,WR,12,12,76,44,57.90%,536,12.2,2,29,44,7.1,3.7,44.7,0
Ty Montgomery\MontTy01,GNB,23,rb,15,6,56,44,78.60%,348,7.9,0,20,24,6.2,2.9,23.2,2
Terrance Williams\WillTe01,DAL,27,WR,16,15,61,44,72.10%,594,13.5,4,34,47,9.7,2.8,37.1,1
Todd Gurley\GurlTo01,LAR,22,RB,16,16,58,43,74.10%,327,7.6,0,16,33,5.6,2.7,20.4,2
Jerick McKinnon\McKiJe00,MIN,24,rb,15,7,53,43,81.10%,255,5.9,2,17,41,4.8,2.9,17,0
Robby Anderson\AndeRo04,NYJ,23,wr,16,8,78,42,53.80%,587,14,2,19,52,7.5,2.6,36.7,1
Kenny Stills\StilKe00,MIA,24,WR,16,16,81,42,51.90%,726,17.3,9,30,74,9,2.6,45.4,0
Melvin Gordon*\GordMe00,SDG,23,RB,13,11,57,41,71.90%,419,10.2,2,21,35,7.4,3.2,32.2,2
Jermaine Kearse\KearJe01,SEA,26,WR,16,15,89,41,46.10%,510,12.4,1,24,36,5.7,2.6,31.9,0
Tyler Lockett\LockTy00,SEA,24,WR,15,9,66,41,62.10%,597,14.6,1,23,57,9,2.7,39.8,0
Brian Quick\QuicBr00,LAR,27,wr,16,8,77,41,53.20%,564,13.8,3,22,65,7.3,2.6,35.3,0
Tajae Sharpe\SharTa00,TEN,22,WR,16,10,83,41,49.40%,522,12.7,2,27,34,6.3,2.6,32.6,0
Travaris Cadet\CadeTr00,NOR,27,rb,15,1,54,40,74.10%,281,7,4,18,25,5.2,2.7,18.7,0
Isaiah Crowell\CrowIs00,CLE,23,RB,16,16,53,40,75.50%,319,8,0,14,44,6,2.5,19.9,2
Giovani Bernard\BernGi00,CIN,25,rb,10,2,51,39,76.50%,336,8.6,1,16,32,6.6,3.9,33.6,1
John Brown\BrowJo02,ARI,26,wr,15,6,73,39,53.40%,517,13.3,2,28,30,7.1,2.6,34.5,1
Victor Cruz\CruzVi00,NYG,30,WR,15,12,72,39,54.20%,586,15,1,25,48,8.1,2.6,39.1,1
Jesse James\JameJe00,PIT,22,TE,16,13,60,39,65.00%,338,8.7,3,20,24,5.6,2.4,21.1,0
Frank Gore\GoreFr00,IND,33,RB,16,16,47,38,80.90%,277,7.3,4,14,49,5.9,2.4,17.3,2
Chris Hogan\HogaCh00,NWE,29,WR,15,14,58,38,65.50%,680,17.9,4,23,79,11.7,2.5,45.3,1
Seth Roberts\RobeSe00,OAK,25,wr,16,6,77,38,49.40%,397,10.4,5,22,41,5.2,2.4,24.8,0
Trey Burton\BurtTr01,PHI,25,te,15,4,60,37,61.70%,327,8.8,1,21,32,5.5,2.5,21.8,0
Michael Floyd\FloyMi00,2TM,27,,15,8,76,37,48.70%,488,13.2,5,0,39,6.4,2.5,32.5,0
Jermaine Gresham\GresJe00,ARI,28,TE,16,14,61,37,60.70%,391,10.6,2,19,34,6.4,2.3,24.4,1
Kyle Juszczyk*\JuszKy00,BAL,25,fb,16,7,49,37,75.50%,266,7.2,0,12,40,5.4,2.3,16.6,0
Quinton Patton\PattQu00,SFO,26,WR,14,14,63,37,58.70%,408,11,0,22,45,6.5,2.6,29.1,1
Nelson Agholor\AghoNe00,PHI,23,WR,15,14,69,36,52.20%,365,10.1,2,15,40,5.3,2.4,24.3,1
Dorial Green-Beckham\GreeDo00,PHI,23,wr,15,7,74,36,48.60%,392,10.9,2,25,26,5.3,2.4,26.1,0
Hunter Henry\HenrHu00,SDG,22,TE,15,10,53,36,67.90%,478,13.3,8,30,59,9,2.4,31.9,1
Dwayne Allen\AlleDw00,IND,26,tb/TE,14,14,52,35,67.30%,406,11.6,6,25,23,7.8,2.5,29,1
Taylor Gabriel\GabrTa00,ATL,25,wr,13,3,50,35,70.00%,579,16.5,6,23,76,11.6,2.7,44.5,0
Allen Hurns\HurnAl01,JAX,25,WR,11,11,76,35,46.10%,477,13.6,3,23,42,6.3,3.2,43.4,1
Rashad Jennings\JennRa00,NYG,31,RB,13,12,42,35,83.30%,201,5.7,1,8,24,4.8,2.7,15.5,1
JJ Nelson\NelsJJ00,ARI,24,wr,15,6,74,34,45.90%,568,16.7,6,26,80,7.7,2.3,37.9,1
Terrance West\WestTe00,BAL,25,RB,16,13,45,34,75.60%,236,6.9,1,11,17,5.2,2.1,14.8,2
Corey Coleman\ColeCo00,CLE,22,WR,10,10,73,33,45.20%,413,12.5,3,18,58,5.7,3.3,41.3,0
Phillip Dorsett\DorsPh00,IND,23,wr,15,7,59,33,55.90%,528,16,2,20,64,8.9,2.2,35.2,1
Andrew Hawkins\HawkAn00,CLE,30,wr,16,5,54,33,61.10%,324,9.8,3,20,33,6,2.1,20.3,0
Latavius Murray\MurrLa00,OAK,26,RB,14,12,43,33,76.70%,264,8,0,11,39,6.1,2.4,18.9,2
Breshad Perriman\PerrBr02,BAL,23,wr,16,1,66,33,50.00%,499,15.1,3,19,53,7.6,2.1,31.2,0
Eddie Royal\RoyaEd00,CHI,30,wr,9,1,43,33,76.70%,369,11.2,2,16,64,8.6,3.7,41,2
Clive Walford\WalfCl00,OAK,25,te/wr,15,8,52,33,63.50%,359,10.9,3,19,31,6.9,2.2,23.9,0
Spencer Ware\WareSp00,KAN,25,RB,14,14,42,33,78.60%,447,13.5,2,17,46,10.6,2.4,31.9,4
Matt Asiata\AsiaMa00,MIN,29,rb,16,6,38,32,84.20%,263,8.2,0,9,31,6.9,2,16.4,1
Ezekiel Elliott*+\ElliEz00,DAL,21,RB,15,15,39,32,82.10%,363,11.3,1,11,83,9.3,2.1,24.2,5
Malcolm Mitchell\MitcMa01,NWE,24,rb/wr,14,6,48,32,66.70%,401,12.5,4,23,56,8.4,2.3,28.6,0
Devontae Booker\BookDe00,DEN,24,rb,16,6,45,31,68.90%,265,8.5,1,8,43,5.9,1.9,16.6,4
Tevin Coleman\ColeTe01,ATL,23,,13,0,40,31,77.50%,421,13.6,3,16,49,10.5,2.4,32.4,1
Lamar Miller\MillLa01,HOU,25,RB,14,14,39,31,79.50%,188,6.1,1,9,16,4.8,2.2,13.4,2
Albert Wilson\WilsAl02,KAN,24,wr,16,5,51,31,60.80%,279,9,2,11,42,5.5,1.9,17.4,0
Jared Cook\CookJa02,GNB,29,tb/te,10,5,51,30,58.80%,377,12.6,1,19,47,7.4,3,37.7,1
Kenneth Dixon\DixoKe00,BAL,22,,12,0,41,30,73.20%,162,5.4,1,7,16,4,2.5,13.5,1
Matt Forte\FortMa00,NYJ,31,RB,14,13,43,30,69.80%,263,8.8,1,10,40,6.1,2.1,18.8,1
Donte Moncrief\MoncDo00,IND,23,wr,9,7,56,30,53.60%,307,10.2,7,22,39,5.5,3.3,34.1,0
Richard Rodgers\RodgRi00,GNB,24,te,16,6,47,30,63.80%,271,9,2,15,22,5.8,1.9,16.9,0
Julius Thomas\ThomJu00,JAX,28,te,9,6,51,30,58.80%,281,9.4,4,15,24,5.5,3.3,31.2,0
Kamar Aiken\AikeKa00,BAL,27,wr,16,6,50,29,58.00%,328,11.3,1,18,29,6.6,1.8,20.5,0
Garrett Celek\CeleGa00,SFO,28,te,16,6,50,29,58.00%,350,12.1,3,20,31,7,1.8,21.9,2
Shaun Draughn\DrauSh00,SFO,29,rb,16,1,39,29,74.40%,263,9.1,2,10,29,6.7,1.8,16.4,1
Tyler Eifert\EifeTy00,CIN,26,te,8,2,47,29,61.70%,394,13.6,5,23,71,8.4,3.6,49.3,0
Marquise Goodwin\GoodMa00,BUF,26,WR,15,9,68,29,42.60%,431,14.9,3,20,84,6.3,1.9,28.7,0
Jordan Howard*\HowaJo00,CHI,22,RB,15,13,50,29,58.00%,298,10.3,1,12,34,6,1.9,19.9,2
Jalen Richard\RichJa01,OAK,23,,16,0,39,29,74.40%,194,6.7,2,8,29,5,1.8,12.1,0
Kendall Wright\WrigKe01,TEN,27,wr,11,4,42,29,69.00%,416,14.3,3,18,48,9.9,2.6,37.8,0
Sammy Watkins\WatkSa00,BUF,23,WR,8,8,52,28,53.80%,430,15.4,2,20,62,8.3,3.5,53.8,0
Charcandrick West\WestCh01,KAN,25,rb,15,2,34,28,82.40%,188,6.7,2,11,28,5.5,1.9,12.5,0
Jay Ajayi*\AjayJa00,MIA,23,RB,15,12,35,27,77.10%,151,5.6,0,8,15,4.3,1.8,10.1,4
Corey Brown\BrowPh00,CAR,25,WR,16,8,53,27,50.90%,276,10.2,1,16,27,5.2,1.7,17.3,1
Carlos Hyde\HydeCa00,SFO,26,RB,13,13,33,27,81.80%,163,6,3,7,19,4.9,2.1,12.5,5
Brandon Coleman\ColeBr00,NOR,24,wr,16,4,38,26,68.40%,281,10.8,3,16,38,7.4,1.6,17.6,0
Dion Sims\SimsDi00,MIA,25,TE,14,11,35,26,74.30%,256,9.8,4,14,28,7.3,1.9,18.3,0
Robert Turbin\TurbRo00,IND,27,,15,0,35,26,74.30%,179,6.9,1,9,19,5.1,1.7,11.9,0
Rob Gronkowski\GronRo00,NWE,27,te,8,6,38,25,65.80%,540,21.6,3,20,53,14.2,3.1,67.5,0
C.J. Uzomah\UzomC.00,CIN,23,TE,10,8,38,25,65.80%,234,9.4,1,14,54,6.2,2.5,23.4,0
Fozzy Whittaker\WhitFo00,CAR,27,,16,0,33,25,75.80%,226,9,0,11,25,6.8,1.6,14.1,1
Vance McDonald\McDoVa00,SFO,26,TE,11,11,45,24,53.30%,391,16.3,4,13,75,8.7,2.2,35.5,0
Charles Sims\SimsCh00,TAM,26,rb,7,2,32,24,75.00%,190,7.9,1,10,33,5.9,3.4,27.1,1
Bryan Walters\WaltBr00,JAX,29,wr,10,3,34,24,70.60%,231,9.6,2,15,23,6.8,2.4,23.1,1
Danny Amendola\AmenDa00,NWE,31,wr,12,4,29,23,79.30%,243,10.6,4,14,32,8.4,1.9,20.3,3
Devin Funchess\FuncDe00,CAR,22,wr,15,7,58,23,39.70%,371,16.1,4,20,48,6.4,1.5,24.7,0
Russell Shepard\ShepRu00,TAM,26,wr,14,4,40,23,57.50%,341,14.8,2,19,24,8.5,1.6,24.4,0
Damien Williams\WillDa05,MIA,24,,15,0,32,23,71.90%,249,10.8,3,10,58,7.8,1.5,16.6,1
Virgil Green\GreeVi00,DEN,28,TE,12,11,37,22,59.50%,237,10.8,1,13,31,6.4,1.8,19.8,0
Tim Hightower\HighTi00,NOR,30,rb,16,1,26,22,84.60%,200,9.1,1,11,50,7.7,1.4,12.5,0
Christine Michael\MichCh00,2TM,26,,15,7,29,22,75.90%,107,4.9,1,0,13,3.7,1.5,7.1,2
Jacob Tamme\TammJa00,ATL,31,te,8,5,31,22,71.00%,210,9.5,3,13,19,6.8,2.8,26.3,0
Deonte Thompson\ThomDe04,CHI,27,wr,16,6,36,22,61.10%,249,11.3,2,18,24,6.9,1.4,15.6,1
Sammie Coates\CoatSa00,PIT,23,wr,14,5,49,21,42.90%,435,20.7,2,16,72,8.9,1.5,31.1,0
Justin Hardy\HardJu00,ATL,25,wr,16,3,31,21,67.70%,203,9.7,4,17,27,6.5,1.3,12.7,0
Jeremy Hill\HillJe01,CIN,24,RB,15,13,27,21,77.80%,174,8.3,0,6,25,6.4,1.4,11.6,0
Jordan Norwood\NorwJo00,DEN,30,wr,14,6,35,21,60.00%,232,11,1,9,36,6.6,1.5,16.6,5
Paul Richardson\RichPa01,SEA,24,,15,0,36,21,58.30%,288,13.7,1,17,39,8,1.4,19.2,0
Josh Ferguson\FergJo02,IND,23,,16,0,26,20,76.90%,136,6.8,0,5,14,5.2,1.3,8.5,1
Justin Forsett\ForsJu00,3TM,31,,9,6,27,20,74.10%,85,4.3,0,0,11,3.1,2.2,9.4,2
Chris Ivory\IvorCh00,JAX,28,rb,11,1,28,20,71.40%,186,9.3,0,10,37,6.6,1.8,16.9,5
Charles Johnson\JohnCh08,MIN,27,wr,16,7,37,20,54.10%,232,11.6,0,11,40,6.3,1.3,14.5,0
Marcedes Lewis\LewiMa00,JAX,32,TE,10,10,30,20,66.70%,169,8.5,1,9,37,5.6,2,16.9,0
