Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Bobby Rainey\RainBo00,NYG,29,,15,0,25,20,80.00%,153,7.7,0,7,24,6.1,1.3,10.2,1
Aldrick Robinson\RobiAl00,ATL,28,wr,16,1,32,20,62.50%,323,16.2,2,14,59,10.1,1.3,20.2,0
Torrey Smith\SmitTo02,SFO,27,WR,12,12,49,20,40.80%,267,13.4,3,14,53,5.4,1.7,22.3,0
Josh Bellamy\BellJo02,CHI,27,wr,16,2,38,19,50.00%,282,14.8,1,13,31,7.4,1.2,17.6,0
Austin Hooper\HoopAu00,ATL,22,te,14,3,27,19,70.40%,271,14.3,3,16,44,10,1.4,19.4,0
Ben Koyack\KoyaBe00,JAX,23,te,14,7,24,19,79.20%,161,8.5,1,10,17,6.7,1.4,11.5,0
Jeremy Langford\LangJe00,CHI,25,rb,12,3,27,19,70.40%,142,7.5,0,7,19,5.3,1.6,11.8,2
Charone Peake\PeakCh00,NYJ,24,,15,1,35,19,54.30%,186,9.8,0,7,27,5.3,1.3,12.4,0
Chester Rogers\RogeCh02,IND,22,wr,14,2,34,19,55.90%,273,14.4,0,13,36,8,1.4,19.5,2
James Starks\StarJa00,GNB,30,rb,9,4,25,19,76.00%,134,7.1,2,5,31,5.4,2.1,14.9,1
Kevin White\WhitKe00,CHI,24,wr,4,4,36,19,52.80%,187,9.8,0,8,32,5.2,4.8,46.8,0
Ladarius Green\GreeLa00,PIT,26,te,6,2,34,18,52.90%,304,16.9,1,12,37,8.9,3,50.7,0
Ricardo Louis\LouiRi00,CLE,22,fb/wr,16,3,35,18,51.40%,205,11.4,0,7,42,5.9,1.1,12.8,1
Mychal Rivera\RiveMy00,OAK,26,te,13,2,25,18,72.00%,192,10.7,1,11,27,7.7,1.4,14.8,0
Rod Streater\StreRo00,SFO,28,wr,16,2,27,18,66.70%,191,10.6,2,13,25,7.1,1.1,11.9,0
DeAngelo Williams\WillDe02,PIT,33,rb,9,4,27,18,66.70%,118,6.6,2,6,20,4.4,2,13.1,0
Zach Zenner\ZennZa00,DET,25,rb,14,4,23,18,78.30%,196,10.9,0,9,33,8.5,1.3,14,1
Rex Burkhead\BurkRe00,CIN,26,rb,16,1,20,17,85.00%,145,8.5,0,9,18,7.3,1.1,9.1,1
Cody Core\CoreCo00,CIN,22,wr,8,4,27,17,63.00%,200,11.8,0,7,50,7.4,2.1,25,0
Cobi Hamilton\HamiCo00,PIT,26,WR,11,8,28,17,60.70%,234,13.8,2,13,39,8.4,1.5,21.3,0
Demetrius Harris\HarrDe03,KAN,25,TE,16,11,31,17,54.80%,123,7.2,1,8,13,4,1.1,7.7,1
Dion Lewis\LewiDi00,NWE,26,rb,7,5,24,17,70.80%,94,5.5,0,4,16,3.9,2.4,13.4,1
C.J. Prosise\ProsC.00,SEA,22,rb,6,2,19,17,89.50%,208,12.2,0,8,43,10.9,2.8,34.7,0
DeAndre Washington\WashDe00,OAK,23,rb,14,2,23,17,73.90%,115,6.8,0,4,18,5,1.2,8.2,1
Jerell Adams\AdamJe01,NYG,24,te,13,2,21,16,76.20%,122,7.6,1,8,14,5.8,1.2,9.4,1
