Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Emmanuel Sanders\SandEm00,DEN,28,WR,15,15,136,76,55.90%,1135,14.9,6,51,75,8.3,5.1,75.7,2
Kamar Aiken\AikeKa00,BAL,26,WR,16,14,127,75,59.10%,944,12.6,5,55,48,7.4,4.7,59,1
Zach Ertz\ErtzZa00,PHI,25,te,15,7,112,75,67.00%,853,11.4,2,40,60,7.6,5,56.9,1
Mike Evans\EvanMi00,TAM,22,WR,15,14,148,74,50.00%,1206,16.3,3,63,68,8.1,4.9,80.4,1
Ben Watson\WatsBe00,NOR,35,TE,16,16,110,74,67.30%,825,11.1,6,42,46,7.5,4.6,51.6,1
Devonta Freeman*\FreeDe00,ATL,23,RB,15,13,97,73,75.30%,578,7.9,3,21,44,6,4.9,38.5,3
Amari Cooper*\CoopAm00,OAK,21,WR,16,15,130,72,55.40%,1070,14.9,6,47,68,8.2,4.5,66.9,1
Pierre Garcon\GarcPi00,WAS,29,WR,16,16,111,72,64.90%,777,10.8,6,44,39,7,4.5,48.6,0
Rob Gronkowski*+\GronRo00,NWE,26,TE,15,15,120,72,60.00%,1176,16.3,11,52,76,9.8,4.8,78.4,0
Travis Kelce*\KelcTr00,KAN,26,TE,16,16,103,72,69.90%,875,12.2,5,40,42,8.5,4.5,54.7,2
Anquan Boldin\BoldAn00,SFO,35,WR,14,13,111,69,62.20%,789,11.4,4,36,51,7.1,4.9,56.4,1
T.Y. Hilton*\HiltT.00,IND,26,WR,16,15,134,69,51.50%,1124,16.3,5,50,87,8.4,4.3,70.3,1
Willie Snead\SneaWi00,NOR,23,fb/WR,15,9,101,69,68.30%,984,14.3,3,44,63,9.7,4.6,65.6,2
Travis Benjamin\BenjTr00,CLE,26,WR,16,15,125,68,54.40%,966,14.2,5,38,61,7.7,4.3,60.4,3
Keenan Allen\AlleKe00,SDG,23,WR,8,8,89,67,75.30%,725,10.8,4,34,38,8.1,8.4,90.6,1
Danny Amendola\AmenDa00,NWE,30,wr,14,7,87,65,74.70%,648,10,3,32,41,7.4,4.6,46.3,1
John Brown\BrowJo02,ARI,25,WR,15,11,101,65,64.40%,1003,15.4,7,49,68,9.9,4.3,66.9,1
Marvin Jones\JoneMa02,CIN,25,rb/WR,16,13,103,65,63.10%,816,12.6,4,34,47,7.9,4.1,51,0
Allen Hurns\HurnAl01,JAX,24,WR,15,15,105,64,61.00%,1031,16.1,10,49,80,9.8,4.3,68.7,2
Donte Moncrief\MoncDo00,IND,22,WR,16,10,105,64,61.00%,733,11.5,6,41,33,7,4,45.8,0
Julian Edelman\EdelJu00,NWE,29,WR,9,9,88,61,69.30%,692,11.3,7,37,59,7.9,6.8,76.9,1
Duke Johnson\JohnDu00,CLE,22,rb,16,7,74,61,82.40%,534,8.8,2,24,52,7.2,3.8,33.4,1
Heath Miller\MillHe00,PIT,33,TE,15,15,81,60,74.10%,535,8.9,2,30,27,6.6,4,35.7,0
Sammy Watkins\WatkSa00,BUF,22,WR,13,13,96,60,62.50%,1047,17.5,9,41,63,10.9,4.6,80.5,0
Jamison Crowder\CrowJa00,WAS,22,fb/wr,16,6,78,59,75.60%,604,10.2,2,34,44,7.7,3.7,37.8,4
Jacob Tamme\TammJa00,ATL,30,TE,15,8,81,59,72.80%,657,11.1,1,31,41,8.1,3.9,43.8,0
Shane Vereen\VereSh00,NYG,26,,16,0,81,59,72.80%,495,8.4,4,22,37,6.1,3.7,30.9,1
Richard Rodgers\RodgRi00,GNB,23,TE,16,12,85,58,68.20%,510,8.8,8,28,61,6,3.6,31.9,0
Rueben Randle\RandRu00,NYG,24,WR,16,16,90,57,63.30%,797,14,8,36,72,8.9,3.6,49.8,0
Antonio Gates\GateAn00,SDG,35,te,11,4,85,56,65.90%,630,11.3,5,33,40,7.4,5.1,57.3,0
Darren Sproles*\SproDa00,PHI,32,rb/wr,16,4,83,55,66.30%,388,7.1,1,21,35,4.7,3.4,24.3,1
Coby Fleener\FleeCo00,IND,27,TE/wr,16,11,84,54,64.30%,491,9.1,3,23,57,5.8,3.4,30.7,0
Alshon Jeffery\JeffAl00,CHI,25,WR,9,8,94,54,57.40%,807,14.9,4,43,50,8.6,6,89.7,1
Martellus Bennett\BennMa00,CHI,28,TE,11,11,80,53,66.30%,439,8.3,3,26,24,5.5,4.8,39.9,2
Tavon Austin\AustTa00,STL,25,WR,16,15,87,52,59.80%,473,9.1,5,21,66,5.4,3.3,29.6,2
Cole Beasley\BeasCo00,DAL,26,wr,16,3,75,52,69.30%,536,10.3,5,31,30,7.1,3.3,33.5,2
Stefon Diggs\DiggSt00,MIN,22,WR,13,9,84,52,61.90%,720,13.8,4,30,40,8.6,4,55.4,2
Tyler Eifert*\EifeTy00,CIN,25,TE,13,12,74,52,70.30%,615,11.8,13,38,31,8.3,4,47.3,0
Michael Floyd\FloyMi00,ARI,26,wr,15,6,89,52,58.40%,849,16.3,6,40,60,9.5,3.5,56.6,0
Terrance Williams\WillTe01,DAL,26,WR,16,13,93,52,55.90%,840,16.2,3,36,42,9,3.3,52.5,0
Charles Clay\ClayCh00,BUF,26,TE,13,13,77,51,66.20%,528,10.4,3,26,40,6.9,3.9,40.6,1
Tyler Lockett*+\LockTy00,SEA,23,fb/wr,16,8,69,51,73.90%,664,13,6,31,49,9.6,3.2,41.5,1
Charles Sims\SimsCh00,TAM,25,,16,0,70,51,72.90%,561,11,4,22,56,8,3.2,35.1,2
Davante Adams\AdamDa01,GNB,23,WR,13,12,94,50,53.20%,483,9.7,1,20,40,5.1,3.8,37.2,0
Martavis Bryant\BryaMa00,PIT,24,wr,11,5,92,50,54.30%,765,15.3,6,25,88,8.3,4.5,69.5,1
Mark Ingram\IngrMa01,NOR,26,RB,12,10,60,50,83.30%,405,8.1,0,22,59,6.8,4.2,33.8,2
James Jones\JoneJa04,GNB,31,WR,16,15,99,50,50.50%,890,17.8,8,40,65,9,3.1,55.6,1
Giovani Bernard\BernGi00,CIN,24,rb,16,1,66,49,74.20%,472,9.6,0,19,45,7.2,3.1,29.5,1
Jermaine Kearse\KearJe01,SEA,25,WR,16,16,68,49,72.10%,685,14,5,32,50,10.1,3.1,42.8,1
Kyle Rudolph\RudoKy00,MIN,26,TE,16,16,73,49,67.10%,495,10.1,5,25,47,6.8,3.1,30.9,0
Jimmy Graham\GrahJi00,SEA,29,TE,11,11,74,48,64.90%,605,12.6,2,29,45,8.2,4.4,55,0
Eric Ebron\EbroEr00,DET,22,TE,14,8,70,47,67.10%,537,11.4,5,27,55,7.7,3.4,38.4,0
Lamar Miller\MillLa01,MIA,24,RB,16,16,57,47,82.50%,397,8.4,2,15,54,7,2.9,24.8,1
Bilal Powell\PoweBi00,NYJ,27,fb/rb,11,2,63,47,74.60%,388,8.3,2,21,25,6.2,4.3,35.3,2
Nate Washington\WashNa00,HOU,32,WR,14,14,94,47,50.00%,658,14,4,33,49,7,3.4,47,0
Robert Woods\WoodRo02,BUF,23,WR,14,9,80,47,58.80%,552,11.7,3,27,37,6.9,3.4,39.4,2
Owen Daniels\DaniOw00,DEN,33,TE,16,16,77,46,59.70%,517,11.2,3,27,37,6.7,2.9,32.3,0
Brian Hartline\HartBr00,CLE,29,wr,12,4,77,46,59.70%,523,11.4,2,30,41,6.8,3.8,43.6,1
Steve Smith\SmitSt01,BAL,36,wr,7,7,73,46,63.00%,670,14.6,3,29,50,9.2,6.6,95.7,0
Julius Thomas\ThomJu00,JAX,27,TE,12,11,80,46,57.50%,455,9.9,5,25,34,5.7,3.8,37.9,0
Javorius Allen\AlleJa01,BAL,24,rb,16,6,62,45,72.60%,353,7.8,2,15,41,5.7,2.8,22.1,2
Marques Colston\ColsMa00,NOR,32,wr,13,5,67,45,67.20%,520,11.6,4,26,53,7.8,3.5,40,0
Steve Johnson\JohnSt00,SDG,29,WR,10,8,65,45,69.20%,497,11,3,29,34,7.6,4.5,49.7,1
Matt Forte\FortMa00,CHI,30,RB,13,13,58,44,75.90%,389,8.8,3,17,38,6.7,3.4,29.9,2
Ted Ginn\GinnTe00,CAR,30,WR,15,13,97,44,45.40%,739,16.8,10,36,74,7.6,2.9,49.3,0
DeMarco Murray\MurrDe00,PHI,27,RB,15,8,55,44,80.00%,322,7.3,1,13,44,5.9,2.9,21.5,2
Markus Wheaton\WheaMa00,PIT,24,WR,16,8,79,44,55.70%,749,17,5,32,72,9.5,2.8,46.8,0
Rishard Matthews\MattRi00,MIA,26,WR,11,11,61,43,70.50%,662,15.4,4,32,53,10.9,3.9,60.2,0
James Starks\StarJa00,GNB,29,rb,16,4,53,43,81.10%,392,9.1,3,17,30,7.4,2.7,24.5,5
Roddy White\WhitRo00,ATL,34,WR,16,16,70,43,61.40%,506,11.8,1,27,25,7.2,2.7,31.6,0
Cecil Shorts\ShorCe00,HOU,28,wr,11,4,75,42,56.00%,484,11.5,2,27,42,6.5,3.8,44,2
Will Tye\TyexWi00,NYG,24,te/wr,13,7,62,42,67.70%,464,11,3,23,45,7.5,3.2,35.7,1
Andre Johnson\JohnAn02,IND,34,WR,16,14,77,41,53.20%,503,12.3,4,32,35,6.5,2.6,31.4,0
Kyle Juszczyk\JuszKy00,BAL,24,FB,16,11,56,41,73.20%,321,7.8,4,17,39,5.7,2.6,20.1,0
Latavius Murray*\MurrLa00,OAK,25,RB,16,16,53,41,77.40%,232,5.7,0,9,23,4.4,2.6,14.5,4
Darren McFadden\McFaDa00,DAL,28,RB,16,10,53,40,75.50%,328,8.2,0,12,21,6.2,2.5,20.5,3
James White\WhitJa02,NWE,23,rb,14,1,54,40,74.10%,410,10.3,4,19,68,7.6,2.9,29.3,0
DeAngelo Williams\WillDe02,PIT,32,RB,16,10,47,40,85.10%,367,9.2,0,15,34,7.8,2.5,22.9,4
Jared Cook\CookJa02,STL,28,TE,16,12,75,39,52.00%,481,12.3,0,19,49,6.4,2.4,30.1,2
Jerricho Cotchery\CotcJe00,CAR,33,wr,14,3,54,39,72.20%,485,12.4,3,26,59,9,2.8,34.6,0
Mike Wallace\WallMi00,MIN,29,WR,16,12,72,39,54.20%,473,12.1,2,27,34,6.6,2.4,29.6,0
Vernon Davis\DaviVe00,2TM,31,,15,9,58,38,65.50%,395,10.4,0,0,43,6.8,2.5,26.3,0
Ladarius Green\GreeLa00,SDG,25,TE,13,11,63,37,58.70%,429,11.6,4,24,31,6.8,2.8,33,0
Brandon LaFell\LaFeBr00,NWE,29,wr,11,7,74,37,50.00%,515,13.9,0,22,54,7,3.4,46.8,0
Eddie Royal\RoyaEd00,CHI,29,WR,9,9,50,37,74.00%,238,6.4,1,9,30,4.8,4.1,26.4,0
Kenny Britt\BritKe00,STL,27,WR,16,14,72,36,50.00%,681,18.9,3,29,60,9.5,2.3,42.6,0
Harry Douglas\DougHa00,TEN,31,WR,14,12,72,36,50.00%,411,11.4,2,22,51,5.7,2.6,29.4,2
Dwayne Harris\HarrDw00,NYG,28,fb/wr,15,6,57,36,63.20%,396,11,4,20,38,6.9,2.4,26.4,3
Chris Hogan\HogaCh00,BUF,28,wr,16,4,59,36,61.00%,450,12.5,2,18,46,7.6,2.3,28.1,0
David Johnson\JohnDa08,ARI,24,rb,16,5,57,36,63.20%,457,12.7,4,21,55,8,2.3,28.6,4
Dion Lewis\LewiDi00,NWE,25,rb,7,6,50,36,72.00%,388,10.8,2,17,40,7.8,5.1,55.4,2
Kendall Wright\WrigKe01,TEN,26,WR,10,9,60,36,60.00%,408,11.3,3,21,52,6.8,3.6,40.8,0
T.J. Yeldon\YeldT.00,JAX,22,RB,12,12,46,36,78.30%,279,7.8,1,15,67,6.1,3,23.3,0
Jordan Cameron\CameJo00,MIA,27,TE,16,16,70,35,50.00%,386,11,3,21,29,5.5,2.2,24.1,1
Dontrelle Inman\InmaDo00,SDG,26,wr,14,7,63,35,55.60%,486,13.9,3,22,68,7.7,2.5,34.7,2
Chris Thompson\ThomCh03,WAS,25,,13,0,48,35,72.90%,240,6.9,2,14,23,5,2.7,18.5,2
Albert Wilson\WilsAl02,KAN,23,WR,14,12,57,35,61.40%,451,12.9,2,19,44,7.9,2.5,32.2,0
Frank Gore\GoreFr00,IND,32,RB,16,16,58,34,58.60%,267,7.9,1,11,34,4.6,2.1,16.7,4
Zach Miller\MillZa02,CHI,31,fb/TE,15,14,46,34,73.90%,439,12.9,5,17,87,9.5,2.3,29.3,0
C.J. Spiller\SpilC.00,NOR,28,rb,13,2,44,34,77.30%,239,7,2,13,80,5.4,2.6,18.4,1
Jarius Wright\WrigJa02,MIN,26,wr,16,3,50,34,68.00%,442,13,0,25,52,8.8,2.1,27.6,1
Crockett Gillmore\GillCr00,BAL,24,TE,10,10,47,33,70.20%,412,12.5,4,17,46,8.8,3.3,41.2,0
Melvin Gordon\GordMe00,SDG,22,RB,14,13,37,33,89.20%,192,5.8,0,8,18,5.2,2.4,13.7,6
Vincent Jackson\JackVi00,TAM,32,WR,10,9,62,33,53.20%,543,16.5,3,28,36,8.8,3.3,54.3,0
Doug Martin*+\MartDo00,TAM,26,RB,16,16,44,33,75.00%,271,8.2,1,10,25,6.2,2.1,16.9,5
Mohamed Sanu\SanuMo00,CIN,26,wr,16,4,49,33,67.30%,394,11.9,0,17,52,8,2.1,24.6,2
Torrey Smith\SmitTo02,SFO,26,WR,16,12,62,33,53.20%,663,20.1,4,23,76,10.7,2.1,41.4,0
Dorial Green-Beckham\GreeDo00,TEN,22,wr,16,5,67,32,47.80%,549,17.2,4,30,47,8.2,2,34.3,0
Fred Jackson\JackFr02,SEA,34,,16,0,41,32,78.00%,257,8,2,12,26,6.3,2,16.1,1
LeSean McCoy*\McCoLe01,BUF,27,RB,12,12,50,32,64.00%,292,9.1,2,12,22,5.8,2.7,24.3,2
Mychal Rivera\RiveMy00,OAK,25,,16,0,46,32,69.60%,280,8.8,1,13,29,6.1,2,17.5,2
Seth Roberts\RobeSe00,OAK,24,fb/wr,16,5,55,32,58.20%,480,15,5,21,43,8.7,2,30,0
Bryan Walters\WaltBr00,JAX,28,wr,11,1,45,32,71.10%,368,11.5,1,22,31,8.2,2.9,33.5,0
Maxx Williams\WillMa04,BAL,21,te,14,7,48,32,66.70%,268,8.4,1,16,28,5.6,2.3,19.1,1
Corey Brown\BrowPh00,CAR,24,WR,14,11,54,31,57.40%,447,14.4,4,24,39,8.3,2.2,31.9,0
Dez Bryant\BryaDe01,DAL,27,WR,9,9,72,31,43.10%,401,12.9,3,18,51,5.6,3.4,44.6,0
Jeremy Butler\ButlJe01,BAL,24,,8,0,44,31,70.50%,363,11.7,0,17,41,8.3,3.9,45.4,1
Justin Forsett\ForsJu00,BAL,30,RB,10,10,41,31,75.60%,153,4.9,0,4,32,3.7,3.1,15.3,0
Devin Funchess\FuncDe00,CAR,21,wr,16,5,63,31,49.20%,473,15.3,5,24,52,7.5,1.9,29.6,1
Dexter McCluster\McClDe00,TEN,26,rb,11,2,41,31,75.60%,260,8.4,1,12,35,6.3,2.8,23.6,2
Brandon Coleman\ColeBr00,NOR,23,wr,16,4,49,30,61.20%,454,15.1,2,22,31,9.3,1.9,28.4,0
Malcom Floyd\FloyMa00,SDG,34,WR,15,13,68,30,44.10%,561,18.7,3,19,70,8.3,2,37.4,1
Chris Ivory*\IvorCh00,NYJ,27,RB,15,14,37,30,81.10%,217,7.2,1,10,36,5.9,2,14.5,4
DeSean Jackson\JackDe00,WAS,29,WR,10,9,49,30,61.20%,528,17.6,4,15,77,10.8,3,52.8,1
Vance McDonald\McDoVa00,SFO,25,TE/wr,14,11,46,30,65.20%,326,10.9,3,16,36,7.1,2.1,23.3,2
Quinton Patton\PattQu00,SFO,25,wr,16,4,57,30,52.60%,394,13.1,1,15,41,6.9,1.9,24.6,0
Adrian Peterson*+\PeteAd01,MIN,30,RB,16,16,36,30,83.30%,222,7.4,0,9,49,6.2,1.9,13.9,7
Marcel Reece\ReecMa00,OAK,30,fb/te,15,7,37,30,81.10%,269,9,3,12,55,7.3,2,17.9,0
Larry Donnell\DonnLa00,NYG,27,TE,8,8,41,29,70.70%,223,7.7,2,13,22,5.4,3.6,27.9,0
Rashad Jennings\JennRa00,NYG,30,RB,16,16,40,29,72.50%,296,10.2,1,8,51,7.4,1.8,18.5,2
Lance Moore\MoorLa00,DET,32,WR,14,8,43,29,67.40%,337,11.6,4,20,42,7.8,2.1,24.1,1
Taylor Gabriel\GabrTa00,CLE,24,wr,13,4,48,28,58.30%,241,8.6,0,11,56,5,2.2,18.5,1
Clive Walford\WalfCl00,OAK,24,te,16,2,50,28,56.00%,329,11.8,3,20,33,6.6,1.8,20.6,0
Marquess Wilson\WilsMa02,CHI,23,wr,11,6,51,28,54.90%,464,16.6,1,20,50,9.1,2.5,42.2,0
Brent Celek\CeleBr00,PHI,30,TE,16,13,35,27,77.10%,398,14.7,3,21,60,11.4,1.7,24.9,1
Shaun Draughn\DrauSh00,2TM,28,,11,6,35,27,77.10%,176,6.5,0,0,26,5,2.5,16,1
Andrew Hawkins\HawkAn00,CLE,29,WR,8,8,43,27,62.80%,276,10.2,0,11,25,6.4,3.4,34.5,1
Josh Huff\HuffJo00,PHI,24,wr,15,4,42,27,64.30%,312,11.6,3,16,41,7.4,1.8,20.8,0
Adam Humphries\HumpAd00,TAM,22,,13,0,40,27,67.50%,260,9.6,1,18,27,6.5,2.1,20,0
Kenny Stills\StilKe00,MIA,23,WR,16,8,63,27,42.90%,440,16.3,3,18,47,7,1.7,27.5,0
Benny Cunningham\CunnBe01,STL,25,rb,16,1,36,26,72.20%,250,9.6,0,12,42,6.9,1.6,15.6,1
Anthony Fasano\FasaAn00,TEN,31,TE,16,11,42,26,61.90%,289,11.1,2,16,33,6.9,1.6,18.1,0
Jonathan Grimes\GrimJo01,HOU,26,,14,0,31,26,83.90%,173,6.7,1,8,19,5.6,1.9,12.4,0
Leonard Hankerson\HankLe00,3TM,27,,10,0,46,26,56.50%,327,12.6,3,0,55,7.1,2.6,32.7,0
DeVante Parker\ParkDe01,MIA,22,wr,15,4,50,26,52.00%,494,19,3,20,49,9.9,1.7,32.9,0
Ameer Abdullah\AbduAm00,DET,22,RB,16,9,38,25,65.80%,183,7.3,1,11,36,4.8,1.6,11.4,5
C.J. Anderson\AndeC.00,DEN,24,rb,15,6,36,25,69.40%,183,7.3,0,6,27,5.1,1.7,12.2,2
Lance Kendricks\KendLa00,STL,27,TE/wr,15,12,36,25,69.40%,245,9.8,2,11,37,6.8,1.7,16.3,0
Le'Veon Bell\BellLe00,PIT,23,rb,6,6,26,24,92.30%,136,5.7,0,4,20,5.2,4,22.7,0
Javontee Herndon\HernJa00,SDG,24,wr,8,2,33,24,72.70%,195,8.1,0,8,21,5.9,3,24.4,2
Ronnie Hillman\HillRo00,DEN,24,RB,16,11,35,24,68.60%,111,4.6,0,3,14,3.2,1.5,6.9,3
Keshawn Martin\MartKe01,NWE,25,WR,9,8,37,24,64.90%,269,11.2,2,14,39,7.3,2.7,29.9,1
Nelson Agholor\AghoNe00,PHI,22,WR,13,12,44,23,52.30%,283,12.3,1,11,53,6.4,1.8,21.8,1
Cameron Brate\BratCa00,TAM,24,te,14,4,30,23,76.70%,288,12.5,3,14,46,9.6,1.6,20.6,0
Scott Chandler\ChanSc00,NWE,30,te,15,4,42,23,54.80%,259,11.3,4,14,30,6.2,1.5,17.3,0
Ryan Grant\GranRy01,WAS,25,wr,16,5,42,23,54.80%,268,11.7,2,18,35,6.4,1.4,16.8,0
Joique Bell\BellJo01,DET,29,rb,13,5,27,22,81.50%,286,13,0,10,39,10.6,1.7,22,1
Quincy Enunwa\EnunQu00,NYJ,23,wr,12,6,46,22,47.80%,315,14.3,0,10,48,6.8,1.8,26.3,0
Arian Foster\FostAr00,HOU,29,rb,4,4,28,22,78.60%,227,10.3,2,13,32,8.1,5.5,56.8,2
Justin Hunter\HuntJu00,TEN,24,wr,9,5,31,22,71.00%,264,12,1,12,29,8.5,2.4,29.3,0
Jeremy Langford\LangJe00,CHI,24,rb,16,2,42,22,52.40%,279,12.7,1,9,83,6.6,1.4,17.4,0
Marc Mariani\MariMa00,CHI,28,wr,16,5,33,22,66.70%,300,13.6,0,19,26,9.1,1.4,18.8,3
Jordan Norwood\NorwJo00,DEN,29,wr,11,5,32,22,68.80%,207,9.4,0,11,34,6.5,2,18.8,1
Antonio Andrews\AndrAn00,TEN,23,RB,14,10,29,21,72.40%,174,8.3,0,8,23,6,1.5,12.4,1
Jamaal Charles\CharJa00,KAN,29,rb,5,5,29,21,72.40%,177,8.4,1,10,26,6.1,4.2,35.4,2
Riley Cooper\CoopRi00,PHI,28,WR,16,13,41,21,51.20%,327,15.6,2,15,62,8,1.3,20.4,0
Lance Dunbar\DunbLa00,DAL,25,,4,0,23,21,91.30%,215,10.2,0,9,39,9.3,5.3,53.8,0
Darren Fells\FellDa01,ARI,29,TE,14,12,28,21,75.00%,311,14.8,3,15,48,11.1,1.5,22.2,0
Todd Gurley*\GurlTo01,STL,21,RB,13,12,26,21,80.80%,188,9,0,9,31,7.2,1.6,14.5,3
Justin Hardy\HardJu00,ATL,24,wr,9,1,36,21,58.30%,194,9.2,0,11,23,5.4,2.3,21.6,0
Darrius Heyward-Bey\HeywDa00,PIT,28,wr,16,4,39,21,53.80%,314,15,2,11,66,8.1,1.3,19.6,0
Jerick McKinnon\McKiJe00,MIN,23,,16,0,29,21,72.40%,173,8.2,1,9,30,6,1.3,10.8,0
Denard Robinson\RobiDe00,JAX,25,rb,13,3,30,21,70.00%,164,7.8,0,8,16,5.5,1.6,12.6,3
Austin Seferian-Jenkins\SefeAu00,TAM,23,te,7,3,39,21,53.80%,338,16.1,4,18,43,8.7,3,48.3,0
Damien Williams\WillDa05,MIA,23,,16,0,28,21,75.00%,142,6.8,1,6,23,5.1,1.3,8.9,2
Chris Givens\GiveCh00,2TM,26,,15,6,54,20,37.00%,353,17.7,1,0,48,6.5,1.3,23.5,0
Ryan Griffin\GrifRy00,HOU,25,te,9,4,34,20,58.80%,251,12.6,2,13,37,7.4,2.2,27.9,0
Eddie Lacy\LacyEd00,GNB,25,RB,15,12,28,20,71.40%,188,9.4,2,7,28,6.7,1.3,12.5,4
Ryan Mathews\MathRy00,PHI,28,rb,13,6,28,20,71.40%,146,7.3,1,6,23,5.2,1.5,11.2,3
Charcandrick West\WestCh01,KAN,24,RB,15,9,34,20,58.80%,214,10.7,1,6,80,6.3,1.3,14.3,1
Matt Asiata\AsiaMa00,MIN,28,,16,0,22,19,86.40%,132,6.9,0,5,22,6,1.2,8.3,0
Josh Bellamy\BellJo02,CHI,26,wr,16,3,34,19,55.90%,224,11.8,2,8,48,6.6,1.2,14,0
Brandon Bolden\BoldBr00,NWE,25,rb,15,2,30,19,63.30%,180,9.5,2,8,63,6,1.3,12,0
Garrett Celek\CeleGa00,SFO,27,TE,11,8,28,19,67.90%,186,9.8,3,10,33,6.6,1.7,16.9,0
Isaiah Crowell\CrowIs00,CLE,22,RB,16,9,22,19,86.40%,182,9.6,1,6,53,8.3,1.2,11.4,0
Rashad Greene\GreeRa00,JAX,23,,9,0,35,19,54.30%,93,4.9,2,9,18,2.7,2.1,10.3,1
Percy Harvin\HarvPe00,BUF,27,wr,5,5,30,19,63.30%,218,11.5,1,10,51,7.3,3.8,43.6,1
Greg Jennings\JennGr00,MIA,32,wr,16,5,36,19,52.80%,208,10.9,1,7,31,5.8,1.2,13,0
Matt Jones\JoneMa04,WAS,22,,13,0,25,19,76.00%,304,16,1,10,78,12.2,1.5,23.4,5
Griff Whalen\WhalGr00,IND,25,,14,0,26,19,73.10%,205,10.8,1,11,38,7.9,1.4,14.6,4
Nick Boyle\BoylNi00,BAL,22,te,11,2,23,18,78.30%,153,8.5,0,10,25,6.7,1.6,13.9,0
Phillip Dorsett\DorsPh00,IND,22,,11,0,39,18,46.20%,225,12.5,1,10,35,5.8,1.6,20.5,2
Jermaine Gresham\GresJe00,ARI,27,TE/wr,15,12,32,18,56.30%,223,12.4,1,13,22,7,1.2,14.9,0
Tre Mason\MasoTr00,STL,22,rb,13,3,25,18,72.00%,88,4.9,0,5,16,3.5,1.4,6.8,3
Dion Sims\SimsDi00,MIA,24,te,13,4,25,18,72.00%,127,7.1,1,7,22,5.1,1.4,9.8,1
