Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Antonio Brown*+\BrowAn04,PIT,27,WR,16,16,193,136,70.50%,1834,13.5,10,84,59,9.5,8.5,114.6,3
Julio Jones*+\JoneJu02,ATL,26,WR,16,16,203,136,67.00%,1871,13.8,8,93,70,9.2,8.5,116.9,3
DeAndre Hopkins*\HopkDe00,HOU,23,WR,16,16,192,111,57.80%,1521,13.7,11,83,61,7.9,6.9,95.1,1
Jarvis Landry*\LandJa00,MIA,23,WR,16,14,166,110,66.30%,1157,10.5,4,60,50,7,6.9,72.3,1
Larry Fitzgerald*\FitzLa00,ARI,32,WR,16,16,145,109,75.20%,1215,11.1,9,65,44,8.4,6.8,75.9,2
Brandon Marshall*\MarsBr00,NYJ,31,WR,16,16,173,109,63.00%,1502,13.8,14,76,69,8.7,6.8,93.9,3
Demaryius Thomas\ThomDe03,DEN,28,WR,16,16,177,105,59.30%,1304,12.4,6,63,72,7.4,6.6,81.5,2
Odell Beckham*\BeckOd00,NYG,23,WR,15,15,158,96,60.80%,1450,15.1,13,68,87,9.2,6.4,96.7,2
Delanie Walker*\WalkHu00,TEN,31,TE,15,10,133,94,70.70%,1088,11.6,6,53,61,8.2,6.3,72.5,0
Golden Tate\TateGo00,DET,27,WR,16,16,128,90,70.30%,813,9,6,50,43,6.4,5.6,50.8,1
Calvin Johnson*\JohnCa00,DET,30,WR,16,16,149,88,59.10%,1214,13.8,9,66,57,8.1,5.5,75.9,1
Jeremy Maclin\MaclJe00,KAN,27,WR,15,15,124,87,70.20%,1088,12.5,8,50,61,8.8,5.8,72.5,2
Jordan Reed\ReedJo02,WAS,25,te/wr,14,9,114,87,76.30%,952,10.9,11,54,32,8.4,6.2,68,3
A.J. Green*\GreeA.00,CIN,27,WR,16,16,132,86,65.20%,1297,15.1,10,63,80,9.8,5.4,81.1,1
Michael Crabtree\CrabMi00,OAK,28,WR,16,15,146,85,58.20%,922,10.8,9,47,38,6.3,5.3,57.6,1
Jordan Matthews\MattJo00,PHI,23,WR,16,13,126,85,67.50%,997,11.7,8,46,78,7.9,5.3,62.3,2
Brandin Cooks\CookBr00,NOR,22,WR,16,13,129,84,65.10%,1138,13.5,9,45,71,8.8,5.3,71.1,1
Eric Decker\DeckEr00,NYJ,28,WR,15,13,132,80,60.60%,1027,12.8,12,60,35,7.8,5.3,68.5,1
Theo Riddick\RiddTh00,DET,24,rb,16,1,99,80,80.80%,697,8.7,3,32,34,7,5,43.6,1
Allen Robinson*\RobiAl02,JAX,22,WR,16,16,151,80,53.00%,1400,17.5,14,61,90,9.3,5,87.5,0
Danny Woodhead\WoodDa02,SDG,30,rb,16,2,106,80,75.50%,755,9.4,6,39,61,7.1,5,47.2,0
Gary Barnidge*\BarnGa01,CLE,30,TE,16,13,125,79,63.20%,1043,13.2,9,52,40,8.3,4.9,65.2,0
Randall Cobb\CobbRa00,GNB,25,WR,16,15,129,79,61.20%,829,10.5,6,42,53,6.4,4.9,51.8,1
Doug Baldwin\BaldDo00,SEA,27,WR,16,16,103,78,75.70%,1069,13.7,14,49,80,10.4,4.9,66.8,1
Greg Olsen*\OlseGr00,CAR,30,TE,16,16,124,77,62.10%,1104,14.3,7,52,52,8.9,4.8,69,1
Jason Witten\WittJa00,DAL,33,TE,16,16,104,77,74.00%,713,9.3,3,37,35,6.9,4.8,44.6,1
