,0
0,982.5619012189992
1,844.9786400099449
2,923.2194800743706
3,871.2656875431027
4,784.8471844303872
5,707.735656266895
6,735.6895418812426
7,752.5166684261171
8,718.0168030934728
9,568.8086032396042
10,510.0705054046822
11,662.9608282557665
12,782.118906941004
13,555.5232316438955
14,682.0769858312761
15,629.1612882688302
16,554.5768816668982
17,687.1771866294384
18,574.3920218768485
19,655.2426198254651
20,439.7828222662654
21,513.6492223894529
22,786.2845126243146
23,455.08807722879044
24,530.4544983115227
25,543.0098895109513
26,375.83333809375654
27,441.66057205849177
28,301.03959201076407
29,550.2063704452148
30,401.33043286591294
31,365.7222299400703
32,483.50265161161474
33,441.19017372839176
34,361.9109356263033
35,315.45855234492194
36,425.9645788102878
37,414.2423449648197
38,369.613551278312
39,362.7996200386873
40,375.8497455291357
41,339.60155577829914
42,295.1702646885908
43,249.24076153276775
44,311.2152436851924
45,323.19122903455025
46,318.00689795090454
47,246.19763612290564
48,358.13084744406274
49,401.92296255126587
50,294.496535556181
51,263.3394043952932
52,290.7016003102324
53,235.5518212458863
54,242.5007452908981
55,108.02079948285382
56,176.7475688980387
57,247.02789739259234
58,182.56830923984458
59,127.12793151936432
60,213.87810740844554
61,292.40587000406526
62,145.06917992513263
63,175.65589472963742
64,118.27738018257477
65,179.28050244690934
66,191.45562142317073
67,213.7299245730657
68,162.4259881774065
69,185.5024546692925
70,147.9077041228497
71,168.71757123845106
72,179.5845121831929
73,138.22277396397712
74,115.20036328660532
75,199.35645734080896
76,134.95694135979423
77,203.2594458065251
78,205.98707971436454
79,174.96671613891718
80,199.50298460218767
81,146.14714361797775
82,71.5312742171219
83,143.13419627506605
84,209.4067531048019
85,168.41202417242556
86,171.8964905364061
87,155.3136469231702
88,298.30314282652034
89,111.4209644486773
90,107.77164824958584
91,100.6224399820167
92,134.49390292224138
93,112.84545205760581
94,99.64741936824858
95,135.73961113948474
96,78.3654510190816
97,122.89303807242857
98,69.38615100418163
99,58.448090973707764
100,95.63360776733444
101,77.1783635618959
102,73.28354749977052
103,71.96031210481667
104,167.74865990052922
105,95.63901755334045
106,194.19693779478916
107,45.30382931775879
108,112.43879834548957
109,80.8810838483192
110,107.77005547549172
111,92.35019244726308
112,56.031556916865036
113,135.10165643992116
114,134.65674331373418
115,78.83072734183736
116,69.54841272090839
117,271.0134822249412
118,76.15698803335366
119,56.99437766609696
120,60.65731606589828
121,109.01505413044386
122,72.97266966584615
123,52.89895734318415
124,76.42116219376621
125,95.28988273007909
126,81.58501030063881
127,93.67867151432436
128,94.162852767494
129,75.79478256621017
130,99.37886366646455
131,70.10773093465056
132,78.27402564084737
133,98.96212130958038
134,89.129576124333
135,75.9592705661239
136,115.10243022019013
137,76.55896973606491
138,53.85963615225091
139,34.42681068948875
140,109.29389701901822
141,30.575022536051737
142,42.7249983536893
143,36.612661620702525
144,164.4115925762698
145,51.602648277332186
146,49.2043029366651
147,74.2308583847681
148,26.042896930951457
149,62.33000139474893
150,79.37918912254403
151,37.65741331011084
152,139.60169098568852
153,107.20130319886485
154,23.312681016499937
155,72.58265511851575
156,24.755205842006397
157,19.8322518257992
158,31.444981068679006
159,37.46288742148812
160,30.585147372212464
161,31.090482432989333
162,59.70578435038612
163,32.974242405934625
164,50.20326091895984
165,24.964455588506432
166,39.76052039088829
167,37.576329784438265
168,18.305850167389266
169,39.836663918402145
170,41.301379018019574
171,63.47327097108766
172,23.213521478064514
173,78.03092623918411
174,24.765879664179852
175,19.060566014119537
176,19.128558891966566
177,37.224714010481826
