,0
0,1253.089411962826
1,721.4953050039967
2,877.225186126461
3,873.5417471416861
4,818.2227848031077
5,1040.5161125805246
6,839.636618462486
7,898.2801939129357
8,847.6296827936427
9,723.4314293997509
10,768.5553659606895
11,839.7980538024153
12,851.188610532442
13,692.1546913014488
14,880.7695895931583
15,1020.3984258775915
16,813.2241393887974
17,823.0587758729015
18,857.7204029638715
19,773.8598696072262
20,417.6587572781135
21,348.83955247547885
22,866.4624542891186
23,615.8376592372081
24,396.80104217544044
25,596.413231676332
26,631.7994434886009
27,759.2126019951327
28,755.6766619919267
29,794.2523906461267
30,874.1017407368058
31,811.9722440337644
32,491.490154943677
33,559.55531154618
34,571.8641785585598
35,589.4595889022365
36,914.2146449872515
37,354.16811981251044
38,850.5589935329381
39,625.6078492662059
40,505.1112926009296
41,863.6063794857165
42,640.8868489240074
43,843.508897270489
44,690.2621746436961
45,400.70104251501266
46,518.8612116539281
47,622.6524195704
48,325.85902963599233
49,505.4162675492528
50,404.29559163372926
51,465.79917907727895
52,709.1799584993641
53,708.4125888834368
54,660.0787003930006
55,604.1879362525458
56,526.4021876444289
57,625.4110778540017
58,544.3815527222189
59,306.3268948968923
60,465.7079577311748
61,398.3298983072914
62,574.1337687160121
63,351.91998530379055
64,762.7908864146801
65,489.60026359179597
66,470.9137082112652
67,526.9541064081742
68,427.3568058569398
69,273.7378034333542
70,376.5789803613402
71,580.7077912118439
72,342.22744372350485
73,343.0489775997712
74,489.7336234814869
75,584.3939406552748
76,748.8716954405157
77,573.2847931553687
78,569.8712109089685
79,253.03533456714138
80,457.7444585935723
81,459.43677221678274
82,481.69325503657683
83,249.95018392471735
84,310.50063551590165
85,555.8850381152754
86,545.5032360270972
87,459.97768019807313
88,340.92436273706505
89,333.09632290118
90,399.82247929971265
91,202.31161970342507
92,449.5216365408803
93,296.1755872363965
94,458.03377606348124
95,254.0028453089223
96,464.08466415714304
97,339.4316692503801
98,506.8100451037802
99,314.82602857360246
100,450.6299977433258
101,420.5620747157716
102,454.55344450961445
103,482.57909684483843
104,326.04779078567503
105,282.2123618931907
106,208.98399926990567
107,339.4925003548793
108,228.93406754514132
109,204.86657471447526
110,338.43695770822876
111,323.0620246828124
112,302.31302219003703
113,319.4359726852588
114,243.9213300573222
115,206.63341508295628
116,304.4926653848563
117,500.43180594826094
118,253.24026930418967
119,244.9672322621397
120,384.10725869924215
121,228.19022234283904
122,359.5675774043401
123,153.70851258509794
124,215.04093690427436
125,227.66018875550887
126,332.54303234883355
127,227.8752294025566
128,237.3338231218541
129,262.90652392342986
130,269.186430604703
131,274.6774171799949
132,366.0511900682109
133,189.36679881978262
134,184.34728045330903
135,241.25565912773607
136,322.3539556833855
137,316.2972056537254
138,333.2590231024609
139,339.07101259994806
140,441.0910357454226
141,251.09240566181523
142,334.05639072510064
143,162.20156588340984
144,280.7845603166321
145,231.77901355684816
146,234.53930949829333
147,270.3845137408954
148,261.9239032968397
149,190.1817572816764
150,274.6576485132982
151,319.66531816271583
152,282.04876053412147
153,270.02172403898703
154,383.20776986758517
155,195.63938270755716
156,316.7046958834545
157,345.67896930774873
158,172.7227164210569
159,234.21870081490397
160,303.3547592608162
161,159.42460211182512
162,237.47326006479273
163,514.7992913352779
164,292.9835256743404
165,233.9402827638656
166,235.5397611062974
167,375.16767768727084
168,182.37450032511828
169,208.21002125176298
170,195.24833052613113
171,396.1120064039577
172,187.44047858098398
173,282.9641740151763
174,183.26309777701465
175,195.0882661022529
176,339.6717860749484
177,211.2295765285303
178,183.20010698173195
179,140.3553570249499
180,145.86863045896393
181,259.27501429120264
182,275.66122883973765
183,102.20159568368882
184,239.688252124631
185,189.88837150742935
186,325.32810940922286
187,262.6466568315981
188,213.62678768017497
189,170.75806078058392
190,256.0886067689809
191,151.0259821738457
192,186.90839410729092
193,156.53694818846157
194,251.0441887483883
195,213.009768218094
196,249.94080014730653
197,139.40191611388565
198,212.86774196497697
199,112.06287783617272
200,166.52643046860635
201,161.70397905091582
202,182.83227675407036
203,158.8395712882028
204,193.3378093720972
205,169.00750464138505
206,149.9762563894226
207,213.99202078164745
208,154.57344331553065
209,129.26503012268515
210,289.87855988314425
211,242.60515857293132
212,117.75572881216797
213,194.21921325311317
214,141.35299009618913
215,174.17615231497726
216,98.94304581856613
217,184.54557368909116
218,124.88128866071378
219,235.00466152426125
220,164.59256604591275
221,120.19982854801226
222,144.98609407845208
223,86.99414668585416
224,89.33487674220493
225,129.81102665614048
226,133.31094901721428
227,97.30228141843423
228,196.69580488909722
229,118.43533807386174
230,134.43325045842096
231,152.86975530265883
232,163.6614910396257
233,123.15341033356725
234,74.60906661330972
235,108.19451492711963
236,168.07276607612724
237,109.03038374517475
238,73.53933233733001
239,137.58206494315812
240,221.40317094118498
241,188.561012995491
242,151.52491690603847
243,158.63470644442714
244,100.24740189529376
245,89.49433799214609
246,131.55181285326307
247,193.24716556455996
248,88.01135992635207
249,110.86928499825986
250,101.70932358242078
251,167.1936021738371
252,133.991720537453
253,99.69994953559747
254,190.0199731311981
255,133.48105963222983
256,92.04101516067938
257,211.31736781216728
258,180.57833282730806
259,79.81266011266277
260,140.1649617656734
261,172.467269826628
262,272.75811813253335
263,107.80127326083071
264,134.76235657758613
265,151.85864211691
266,110.03298681893935
267,64.98870056668781
268,82.11374138032392
269,112.58874198451704
270,114.87533235675194
271,137.6540277009649
272,208.35354443425115
273,76.02230031215443
274,109.72561074057585
275,76.96134713799722
276,44.4228192884531
277,140.23266643945834
278,83.02386327789218
279,93.26691201639827
280,105.6470997755214
281,85.91177403209531
282,99.25097251856441
283,115.74615435304062
284,123.32429487281522
285,79.88589725394095
286,152.0404113902623
287,316.0805035354256
288,49.41943438548073
289,136.07607670016404
290,183.1978148792114
291,96.85280082242022
292,70.74797351626155
293,59.21940702631652
294,157.34311089857735
295,94.94235694847825
296,87.53485234263935
297,183.3835539204085
298,72.6867001611764
299,157.70788952147825
300,66.91691152497654
301,102.11985734277019
302,106.10394788647451
303,70.2610741394771
304,94.82080019925432
305,122.75037758069227
306,89.69840957032909
307,59.166346027327585
308,63.528576558038914
309,152.13742576353366
310,52.15244006882348
311,100.34750698807741
312,124.52474100873785
313,72.98927542743888
314,44.72596076869704
315,49.94684381779804
316,76.92244494691198
317,121.22667918746235
318,242.9178611019511
319,86.86152099518432
320,49.71481608086283
321,69.35617144517593
322,90.5520551262378
323,53.96747026738181
324,43.05234314275728
325,65.31746368275695
326,97.73487817965797
327,62.003093147688205
328,63.397629420778216
329,71.45443374366045
330,63.31125319920341
331,56.50338815523616
332,44.07974818788605
333,55.25657891994696
334,148.0348008567161
335,126.72208765361079
336,71.30693273868269
337,80.07233986255991
338,54.00145081518801
339,66.22060250444704
340,82.19076892745194
341,111.5968725560613
342,47.912740941172416
343,53.974634786029526
344,109.46493772179409
345,68.9027393837099
346,52.949638037500925
347,67.5721113083281
348,85.93199649004265
349,52.837777997079286
350,185.20057976247685
351,67.43162907711746
352,73.13454594078023
353,76.59473389615815
354,41.366846544238115
355,82.59794435326305
356,286.49699170912527
357,59.89533746884375
358,83.08769824232634
359,63.701838074966915
360,50.02868240596336
361,67.02380197188491
362,69.91897203153161
363,98.20958966425908
364,85.8677508959273
365,44.27305747753961
366,44.99683329906863
367,116.46821280352954
368,71.84344606618848
369,45.32238623840556
370,116.66198408996111
371,79.35903912989558
372,64.84143363364305
373,33.7744156929076
374,42.90530916581696
375,60.39792709094205
376,63.059751702195285
377,174.72571857001876
378,30.80346308522065
379,39.30537466125931
380,91.55711918029188
381,57.5105226459453
382,78.55131953575213
383,46.16862212174274
384,40.26053710138931
385,40.09259466030959
386,49.0386934113796
387,43.84698575336148
388,39.94734269263955
389,70.51349226271736
390,37.3190500923005
391,43.91502049126002
392,61.70630756859139
393,47.47973015574016
394,63.58655010737845
395,100.62955825159668
396,31.192209684744608
397,135.38321558844083
398,43.59714068081124
399,37.65329211893979
400,65.58688109370404
401,38.0288245277222
402,30.696549547254733
403,44.45994955296625
404,241.13441149082936
405,33.965343437159625
406,42.94201067884079
407,36.4319812558767
408,35.121721251935796
409,105.0532937146755
410,32.90472361745564
411,72.5942317231985
412,41.86632788559435
413,43.952238244622144
414,105.73618959499
415,39.90399694812422
416,35.26913994556213
417,85.47206692640722
418,51.19416608481107
419,40.1303200394706
420,35.64807678144172
421,50.792257514696914
422,32.542817199450376
423,34.47305474550374
424,76.65499910397583
425,50.167430280333555
426,37.147371434405365
427,39.982901345844255
428,48.36596720674471
429,34.562003886381554
430,33.83316453759793
431,40.1923708398385
432,45.32581749356248
433,47.429448987776524
434,29.457424001940907
435,29.89452472209409
436,32.321905669714084
437,35.661695218982146
438,29.637636071125925
439,10.617603621318533
440,30.049366027274353
441,29.37105045606564
442,33.37012166196099
443,38.95883003885114
444,11.944457106296408
445,30.21879367897867
446,29.297472632904736
447,94.06349845937324
448,29.83810884045979
449,29.71121389428683
450,31.580575559874582
451,13.753880528617415
452,32.82280544816431
453,35.29992227117698
454,33.12991246352229
455,37.45635138492446
456,57.854443576878616
457,30.65279564050961
458,33.73054580033102
459,33.73054580033102
460,29.983473862971906
461,29.83810884045979
462,30.33210793124441
463,29.283891938997513
464,150.43711634162494
465,29.764531017298886
466,28.85272692851566
467,61.88735617683003
468,36.580661803004126
469,29.83810884045979
470,30.706112763521666
471,28.457194387426178
472,30.680521318092936
473,29.83810884045979
474,27.98703679288317
475,29.517421131194588
476,36.46145251568962
477,28.723780002486468
478,30.44642783612698
479,78.01900657663569
480,29.016521352744366
481,32.428539915738206
482,29.944743086483903
483,29.517421131194588
484,34.111230638849904
485,29.83810884045979
486,42.303950784925696
487,29.83810884045979
488,28.994470028785834
489,1.7138541864624877
490,32.32421945714348
491,29.83810884045979
